,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
CD34,0.1455105696060895,-0.0725263112671688,0.16151344715848087,0.04336878294791562,0.02329558815629242,0.04741913398900194,0.08677938728114377,-0.2502276990931999,0.02250500610953753,0.0015120228073385378,0.054539857451577654,-0.038776626096632384,-0.014258256577905078,-0.0020776272056741087,-0.0619391132696026,-0.048209590433054166,-0.0420810353100511
CCL23,,,,,,,,-0.0699644838172456,,,,,,,,,
PLAT,0.004008955167897428,-0.004850755016950827,-2.799976763592609e-05,0.10520861388145819,0.02650127061601621,-0.0014804639330742665,-0.006353259472776187,-0.4020352345909313,-0.17949994214694556,-0.03536148286535924,0.018893255855914243,-0.00835834869498001,-0.1626286131015634,-0.04450745275151464,-0.21151410697292183,0.02648212081905359,0.05100603963306656
NTF3,,,,,,,,,,-0.01639326709194297,,0.06879124857143261,,,-0.04042657038797222,,
LTA,,,-0.011338931667340641,,-0.036832075163287535,,,,-0.03472577179942091,,,,-0.039414629755969016,,,,
CKLF,-0.0824165637046004,-0.05119138971795936,-0.03540435910673846,0.038211177806518316,0.08940462062355944,-0.07904064353054542,0.0010599037615136378,-0.43787319187245205,0.07746093660453511,-0.04753031159135513,-0.25362394145132916,0.017371216330320967,-0.2238157554557139,0.009508960228757343,-0.06079742930284506,-0.05810326725471375,-0.022567746472452112
APELA,,,,,,,,,,,,-0.019704459124080163,,,,,
CD24,-0.10903587695612406,0.029079133031057885,0.05222117908199719,0.0054428304598792806,-0.06268520887545075,0.045942179950666136,0.020566874292476778,-0.04981600519359796,0.10278373181728288,-0.023393706709395758,-0.028138018693881835,0.09951722279772063,-0.032459223159334444,-0.014677490812620259,-0.06400225747473677,0.07570175301158136,0.041122807109116366
HSP90AA1,0.20440456447923594,0.018244531318839963,0.009502231702620753,-0.07109818932672095,0.07828891342884071,0.33351004558617353,0.05878782515095337,0.500102871787077,-0.05235696294820539,0.019854956298672354,0.5199595169157136,0.06693847809023772,0.3147122412390415,0.09101596738740565,0.10497475828297416,0.11253102002061331,0.20711388245887555
BMP4,0.16734481199071063,0.009939802376388088,-0.012019932255619974,0.005125838232121074,-0.029695808926937284,-0.005037774321012719,-0.023487510769317113,0.051964922549011215,0.0015654467157389823,-0.013878886453192954,0.10662806101126787,0.03551820163988755,0.06417154809912298,-0.07341877511390656,-0.03798527727564897,0.07068246924373438,
SCGB3A1,,-0.03786433632023104,,-0.031118943768101228,,-0.05746369879603221,-0.023028300801383083,,,-0.022237405811431243,-0.07076164102036354,-0.006185845757014953,0.14038311965975842,,-0.03287025072131125,-0.006529012351312821,
IGFBP4,0.011793815015646128,-0.046029149881217375,-0.05362887396361948,0.05782252582898596,-0.06159712776794628,-0.05894844971873852,-0.011682336573553394,-0.25707494513850926,-0.16125173162936574,0.0051018692390955986,-0.13498657415420406,0.027562462757859903,-0.11456966754815863,-0.03692317407561675,-0.18098992790533674,0.10789863105764279,0.024270588547808693
RSPO4,-0.04566463951841758,,-0.018330678064941548,,0.0016204780304040238,-0.06632244943154408,,,0.09198576845733722,-0.0011288900860375063,,,-0.02741387486333951,,-0.022136714979826534,-0.028389449266633816,
LEFTY2,-0.06810923459332677,0.024370689367571474,-0.011478191000097953,0.041235129795983684,0.08184797304982391,0.005501408011762444,-0.014141141849649888,-0.3113171503273481,-0.029401316095886986,-0.035796924999589634,-0.07485987626728366,-0.004942793716487839,-0.00461415651894729,-0.05395829464285872,0.021258402412124944,0.04773835873589408,
PF4,,-0.0007080069359919098,-0.01031429947344687,,0.08678916973999251,,,,,,,,,,,0.03230976012800578,
ANGPTL2,-0.0037360766447285076,-0.014101412472652348,0.014971029825937553,0.072081812618528,0.01858511784245813,-0.10298348857247142,0.0015857602535104454,-0.32504056036302015,0.008630184080601866,-0.0295166334325314,-0.2873037668359246,0.07310627800713475,-0.2864409755713362,-0.042146605940619815,-0.013923804105446984,0.0412169263811775,0.061044648377096306
LRIG2,-0.07648170513313779,-0.016309009981813317,-0.03449972463436716,-0.004590009717446042,0.023442355451923722,-0.007318627825809052,-0.035703614463299525,-0.1899069813663689,0.01107233869015198,-0.05201883264204652,0.056091879291155895,0.0539082081918792,-0.08868307179591181,0.06400179698334997,-0.03574113645781747,-0.0041179077952360485,-0.07126918487175309
ICOSLG,-0.08912506162397636,0.013568506977514761,-0.017808152089958732,0.02993304424311349,0.019080311195279333,-0.06008233965396588,-0.0069822330082387855,-0.23228587109343415,-0.020297165269787754,-0.03495155452763076,-0.1706325363520738,-0.009336675961844914,-0.10554662664788253,-0.03899339274286878,-0.059594812374633536,-0.052353557863473954,0.024883096460819407
WIF1,0.4741502725301278,-0.0004960655139596498,,0.05763892775043617,,0.1955478928212794,0.020474991689250384,0.4786949739458663,0.13051402882077826,0.03826561035380104,0.3857623448494786,,0.35873023546748417,,0.11010666042491449,0.04351998397339086,0.19229552029939256
NPPC,0.07262460893188871,0.11726145613480646,,0.013283318801291853,0.1532993497976369,0.141583330265752,0.22773170369929788,0.14063372568727286,0.06610201301557161,0.07638337992566392,0.17618872845347827,,-0.1652205099890378,-0.04639218450334573,0.015314754145966138,0.2096969013365608,0.17177379808038615
LYZ,-0.02508645396502873,-0.003769975638749107,-0.021688850035609275,0.016906311858080874,-0.033022433464373856,-0.13228500369073734,0.01543486925962543,-0.29086711619254385,0.02485689552677119,-0.02189186989025312,-0.4104266258230676,-0.06002654962763188,-0.07118006999151374,-0.03240541646281419,0.05296545576831312,0.045556512066756774,-0.07307062636198507
EREG,,,,-0.011401701185610742,,-0.029788159348254385,,,,,-0.05523153869386348,-0.035116075748756914,,,0.014414127521294832,0.020773992786194705,
SPTAN1,0.24116995439587355,0.03013946452805318,-0.010278598987424989,0.07977760809994817,0.029858341153130272,0.10780169007059975,0.10386195392235939,0.3214436683641125,0.0670569874868805,0.004338323571926235,0.5701373906000398,-0.01570053808628504,0.2756785111520625,-0.06332824135320794,0.004745231177028416,0.12104751418100734,0.27913009951160206
PTH2,,,,,,,,,,,,,,,-0.03520475148613289,,
LIPC,-0.02522761394107732,-0.020317509324668002,0.070059212425882,,0.02559038067713266,-0.0218811218515025,0.09666370425433395,-0.09801915056459595,0.042232675005041936,,-0.020948555332234355,0.07132183407799791,-0.024580124265148228,-0.008474491242095573,,-0.038120845049163465,
COL8A1,-0.2421335128477521,0.06596004022630013,-0.050972980111068655,0.02035109341828427,-0.019090984249012267,-0.1637576288632601,-0.009077033369550565,-0.1428094712047996,-0.08474206740454057,-0.04764140594379871,-0.25401233822705577,-0.046689491038743224,-0.20317222758837453,-0.01027000289434098,-0.09638294292757575,-0.0324060056896715,
GSTM2,-0.03411289175680684,0.026021056312542153,-0.02260129412785083,-0.005147179668132633,0.004476576680109678,-0.020491353123314845,-0.01525519728962245,-0.1351356778433512,-0.0557162366245445,0.011101980760184706,-0.023532877761030947,-0.039358360002511306,-0.08375585133417343,0.034181151485610614,0.025554171512965598,0.00016647839503037737,
SPX,0.2622007630326938,0.018581767595622578,0.008502249323574417,,0.04630410962961134,0.255429493037963,0.005447720918080398,0.17573703986360978,0.11097427073395763,0.04739725400641534,0.10158545213890961,,0.3138232605801478,0.02262051026339916,0.2508824400170139,0.011771023831026687,-0.048999442917998716
MFGE8,-0.18502121048380551,-0.0616895276125386,-0.05251550745733054,0.04041353066161923,-0.046371787790657905,0.10480252701481456,-0.0037534513900224953,-0.10638602755244844,-0.07365392781198496,-0.042486741351451814,0.13415222364218915,-0.05344158673824917,-0.14874478410994174,-0.0016635960543144738,-0.11114474663111046,0.060326905812807585,0.09958405528302358
TGFA,-0.2118022208373993,0.02279658591758611,-0.012877101690855612,-0.0019053116874616154,0.03035629335958481,-0.17000329494057245,0.09424612261627471,-0.3017451489122645,-0.14244631617696835,-0.005123267166300698,-0.1522980598679098,0.021431400577866556,-0.12913122336402202,0.02157670453432063,-0.04377141902955194,0.0014280251332675885,-0.12666961473785648
SLIT2,0.41511905905288043,0.015284226101612286,0.009763388673512481,0.13145123573898654,0.036949509599102266,0.18092065497734766,-0.024888004657652445,0.22120100471718396,0.08848589892874988,0.0966727707042441,0.27281352672983633,0.04288773588819961,0.3247455359751587,0.04253551806034252,-0.043405876873758756,0.04121309644021186,0.2954003103595731
PLTP,-0.08435400947835996,-0.02377648522599895,-0.02828491512581455,0.08851173638615543,-0.050535773637125206,-0.1665875511368002,-0.0325332365465063,-0.4551695557949055,0.08341290126131144,-0.0813770014618934,-0.49896439780421875,-0.015799976335827623,-0.01287675093565612,-0.1174088457278985,-0.052176909706511156,-0.006550680671756511,-0.03402079693472011
APOD,0.23339611416537348,0.00396606675112202,0.06084159979725469,0.10507266876830781,0.0823958749822333,-0.015322086052254434,0.0024646593910677486,-0.4806077349922796,0.07302974974026676,0.003245031098240516,-0.4310742030939581,-0.00538137255871918,0.12874096487139236,0.09945953106031807,0.022289351003610722,0.09995531491406831,-0.18430727010203912
B2M,0.04606197210694816,0.019726169768977557,0.006882409102141286,0.11474405657413844,0.1941279457546264,-0.08788778547327346,-0.05980079695677429,-0.580170252364594,0.05562329234869548,-0.09834525999049928,-0.6130245059016212,-0.07570253983717665,-0.34813980776964654,-0.04827732080788312,-0.0841813803132461,0.016743895662979666,-0.26336261787750764
OMG,0.3008666118937335,0.04316397903984828,-0.020795148732875274,0.09221179091126878,0.05311915420228554,0.17237897559899654,0.017743530704933074,0.024745354981361357,0.11962505941254484,0.0032091707572365117,-0.006686296887063272,-0.007339718797336397,0.21449332225073914,0.010434861347069597,0.1515814698769483,0.13879059551909256,-0.09917441328567628
CXCL3,-0.07180842525789212,0.018105403927069982,-0.021205218123957415,-0.054815816254894116,-0.016888015123872887,-0.13746823651369122,,-0.045626927767354136,-0.09912232492323862,-0.005384402854869922,0.0020459781376423254,0.021802250695719016,-0.028385670877283792,-0.03443566010085482,0.010453979348973635,0.0035576282243004807,
CXCL10,0.012079051704127954,-0.03201187685573643,-0.034591287177909755,,0.1283787448921829,-0.0007360698808635351,-0.02465855248482577,-0.365054268039152,0.011747051010774646,0.010448657231545044,-0.06574575800060911,0.038919664549058826,-0.045108266194342904,-0.011308799227814987,-0.016876435204350886,0.031805758516907236,
RSPO3,,-0.01550875839289406,,0.15738005938389316,0.1037888273897421,0.1770830519466021,-0.0044228832427664665,0.15833058525388158,0.06544298017784335,0.07811976388734827,0.23958723982174365,,0.11664403962170469,,-0.05107842261932806,0.03715218662394784,0.16609059867706888
CORT,0.05996301932834733,0.06009816145450737,-0.01842068571076281,0.24649244023160716,0.18333608263101295,0.1748085912951242,0.03430402983038901,0.22879834428210907,0.015540785964733758,0.01462423569689806,0.041696745181986274,,0.05824270814083095,,-0.02661095306946347,,0.16148324291819768
NCAN,0.013686514084827591,0.016048222876274793,0.04046790149951448,0.09882048058199312,-0.10103242975871697,0.38969552419069003,0.02736288751252998,-0.23697320809943118,-0.13993705307938256,0.01153927876496491,0.34387609257814533,,-0.2742170492220465,-0.014408647472691233,0.1970443969544788,0.13350615642603994,-0.013598147851607506
PRG4,-0.06987339453292117,-0.02548429256859734,,0.03649143484182898,-0.02475760179524292,-0.0009390210905570406,,-0.029143340720855716,-0.04095862812817893,,,,-0.014462648079183264,,-0.05278765052890279,-0.012634264392611987,
ZG16B,,-0.047558553742735855,-0.012411583047335478,,-0.025027879386540067,,,0.11940010509930125,-0.02759277804749445,,,-0.05754049321274354,,,,-0.056115134008609055,
TGM2,-0.11294410013674576,-0.017190246520147043,0.005280111901014783,0.008651256290124636,-0.04339177372674823,-0.0500728909233894,0.01950485896388897,-0.12905409975964585,-0.03871147267464552,0.022435677875505385,-0.009561485328725434,-0.0023156491793356686,0.08405899467718583,0.013719939915474736,-0.10501287439634988,0.08459848233772324,0.05445684876852013
VEGFC,0.023096526662120795,-0.04597554046365372,-0.015936950596942275,-0.01873892644402104,-0.027390228745863877,-0.006784512509723935,0.04732118598915973,-0.05206785561305351,0.058708159137399886,0.04745275754357214,0.04615421704150908,0.03424046329204712,0.014200752702163248,0.0018579945830075337,-0.03778110151595902,0.020586204407039174,
WNT6,-0.014133240072461412,0.06046551356581108,0.09893651105382724,-0.020686896846538273,-0.018341582775704995,0.05493396698672868,0.021429430016735054,-0.041277530116745384,-0.0018833139279696735,,,0.04958121304527051,-0.03088893574382324,,-0.029379033468266133,-0.02566126445515733,
NRG4,0.06341842061621834,0.04893143092797815,,-0.021821777229468976,0.004759368128438876,0.02613426266256576,0.01092227424959522,-0.02849869398774386,0.04352987408468702,-0.009349107107350308,0.1919615478185304,,0.04012812341310864,-0.022507467614826537,-0.029232106483177034,0.011627483515700825,
PMCH,,-0.021406059028523314,,,0.009790808591695763,,,,-0.018117722109957837,,,,,,-0.016830639988384802,0.0397366693855476,
