,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
PSPN,0.0073515389193568835,-0.03739538468356748,0.053761723701193954,0.020103465960901984,0.026253753648118387,0.03119350144765046,-0.017407442259186216,0.016837573387898472,0.03841045541456553,0.004382930995198655,-0.014185890402512417,0.053815171777918475,0.03791572285593014,0.10318656442415858,0.03857628615462634,0.026452411918270767,-0.004383202322407165,0.025840052429797988,-0.024257870808723426,-0.04642221189582069,0.024380761843058214,0.06840604824123565,0.004862577884486478,-0.0048348437561619275
PENK,-0.024395511538101884,0.04791680086887485,-0.00021634458813655683,-0.03529701590969379,-0.01971762540393879,0.12423136759272205,0.04408869459145772,-0.18155006524554607,-0.019237709654663288,-0.033457607051258616,-0.011494728109333677,,0.07576890152785255,0.050556806087058315,,,,,,-0.04047477317062705,-0.03911367423445285,0.05647854762748805,-0.023258670772326264,-0.007029890514998911
EGF,-0.04232167324094775,-0.0636575728611665,0.002813063607162129,0.049404575257537484,-0.046166477728134536,0.0392964475514719,0.01644170127725497,0.09963509824691977,0.016778682012156005,-0.020699700394116543,0.08460357835364557,0.1123960119724085,0.01098013838405724,0.005951543604213933,-0.08633246008749708,-0.014957043641239592,0.02923922487031914,-0.020198296183507602,-0.019549760596388254,-0.029701096694044693,0.03164087905897545,0.000243783172739654,0.07677358452274254,0.04906170365468211
SERPINC1,,,,,,,,,-0.02189405442990511,,,,,,,,,,-0.0287783970712896,,-0.0003589267953704221,,,
UTS2B,-0.024039012562517358,0.04390716044512329,-0.018888011213432768,0.04492628423058621,0.034362556802135735,-0.033637017595285715,-0.013297614865316524,,-0.020463460779129458,0.03215436986076872,,,,,,0.0025332075163415025,,,,,,-0.005498236776196358,,
F10,,,,0.005816325231197402,,0.021046623379308925,0.06168867989332265,0.07919273739511823,-0.020463461276307226,0.0018047480842642758,0.00390134143317846,0.03481358577297924,,0.08639057078016686,,-0.02409194052961791,,,0.0748120093776749,-0.03753323902519606,0.06949823137734336,0.03731635716840473,0.03311052017178396,
FN1,-0.024831173759436397,-0.13518614856924832,0.18829002709916098,0.04467662534573582,0.06524822829562582,-0.028255242580703853,0.09596916238649834,0.36542100421703766,-0.022265292927176945,0.017179615820986947,-0.05996299032339363,-0.09305882506316249,-0.15609914182439863,0.19753340369283828,0.26358507714752843,0.173766066734068,0.17832680389342911,0.10783595487543099,0.07766479287352301,0.09713021371200253,0.17300783643676884,0.22458435811606803,0.11252213186651266,-0.053980438548479275
FGF2,0.041052939086913647,-0.041786296261134996,0.0398448020753787,-0.004904088225571075,0.03314819468066643,-0.09227227997922134,0.0037650811645368806,0.2065674158699259,-0.010615429384179337,0.030636337986690965,-0.03425003413554554,0.0484063024895263,-0.051400208320587865,-0.006809339457954594,-0.012460548394570144,-0.06962931040128058,0.05240107156750165,0.03312731601855181,0.03985850631823077,-0.06386653993009984,0.04984127832680553,-0.007853712851869683,0.031112612618098844,-0.04987944259901443
GDF9,-0.030433406937490862,-0.011028981468975707,0.024594936785739322,-0.015468472207296713,-0.02485289741419013,0.019303377891308947,0.043983178160377216,0.13516447350053823,-0.002582422772610613,0.043864353480112105,,0.015043926388553779,-0.04657456435182701,0.01824250070871901,-0.0503957466186863,-0.01871274532350972,0.04850796281986438,0.0021884790540092824,0.005087615654111741,-0.0006691762214281093,-0.010382177306040914,-0.04345006807664724,-0.00517971633709739,-0.027741663353521823
CSF1,0.008107658641547572,-0.06774192451895018,0.10616246833395825,-0.006973134449877855,0.0019563253188306018,-0.03312144614118655,-0.037593962805387834,0.11632760389301654,0.02409373422215557,-0.01698443238217333,-0.12307615310767826,0.08168417759262395,-0.07498059837167408,0.055227918856969524,-0.0560486364618926,0.019195049950270972,0.04910248088170047,0.10514326608207576,0.01782181884976295,0.006907386458344688,0.07054286905687741,0.021515103280364052,0.17974358523013764,0.022270273318668016
