,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
BMP4,0.04271455017327777,0.16446491750791076,0.048313927187708126,0.01759057290457981,-0.015945753763024366,0.050772920297435215,-0.04841451745220023,0.003456653079045183,-0.007490734964801642,-0.03993572615501585,-0.036936211002461264,0.2704107258432486,0.2021105305306962,0.0316451067635471,0.036006322017562556,0.07559215741418018,0.06174083291241393,0.06688196980937026,0.09153455905522519,,0.23064063412770822,0.01344021230919764
SCGB3A1,,0.10940325102282993,,,0.00923164139304674,0.02270330010233498,,,-0.018432898665815114,-0.019335295299726708,0.01638365730647238,0.0421016824720853,0.047914241575533284,0.018121301243563922,,0.06572178063491871,0.014252432948854211,,-0.002870724137073753,,0.20315444801089186,0.01044688285964248
IGFBP4,0.15314852597639708,0.289876088401237,0.004463200017315507,0.03468679009753392,0.0019008700967899656,0.10168427026995387,0.12240516024420835,0.07856726725096863,0.024109982978065565,0.044360347387473534,0.07478569490618962,0.19653624601973396,0.2554114098317839,0.16404634866904313,0.2422251387085878,0.07026858169074911,0.10924607085864647,0.18341820027107766,0.22156337189163272,0.03381080052047017,0.39257003335230145,0.1721774696710622
RSPO4,,,-0.03005438408950495,0.0003484234809221115,-0.02598850486241944,,,-0.02480521022930411,0.04255478202400438,,,,,-0.05152649596770622,,,,,-0.008742655889273622,,-0.0036772812894632343,-0.008811682097784027
LEFTY2,0.11430253957831799,0.14161718064459944,-0.01881926897343843,-0.023702619131304524,-0.04033817685500247,0.05423060508680628,0.14922112765390905,0.030704456645465457,-0.020211895869922804,0.05285552237392809,0.039964862660491235,0.0060256168338234705,0.004594784609563162,,0.06271142086326106,-0.030215109159847008,0.08154682257420007,0.15064136067838907,-0.06009010975262304,-0.014771665920391738,0.11305757181256686,0.006907173256843117
PF4,,0.08005467789896957,-0.01691099024765614,0.05003644095302989,,,,,,,,,,,,,-0.020986882725915826,,,,0.01590286539146349,0.03374997915531907
ANGPTL2,-0.00861249495824447,0.1857685854499218,-0.07439905134655114,-0.03132626531093228,-0.011362341172923384,0.058097150317015754,0.04879664884481709,0.01688862018015576,0.05205792426142328,-0.0500255310058003,-0.14273291276832303,0.11584010846259944,0.0008291738364304883,0.0884442884108147,0.05576878106127686,0.04992577421234808,0.08120048643721287,-0.029285497635002863,0.1395885275626082,-0.019598981535273622,0.26557916495809014,0.1399833790177963
LRIG2,0.0030672932384075186,-0.0016951355249474858,0.016659395036094878,-0.05957911871798895,0.033940919444733764,0.00886283116999284,0.0021808637887745824,0.026197953235327146,0.002988606081538439,0.018262792929989696,0.03093757721490646,0.05470636756972059,-0.08203901948206277,0.006698999910047842,0.01949343676406305,0.018256073586225982,-0.020226948504408777,0.0898772016709676,-0.039497314993093134,-0.005816701924526262,0.04538178621691551,-0.026645707257527632
ICOSLG,-0.0290000249560147,0.10391693569325938,0.02863609490043322,-0.010757675088193364,0.0688090543747537,0.04412094901544468,0.005935539198839285,0.020468274754460586,0.11075636906513245,-0.0269194895134912,-0.006368640138176867,0.052333440499179595,0.021678322062445004,0.10825117011551116,0.07711376941120945,-0.006887369900791106,-0.0035354500406212055,-0.009159207567093444,0.013700469494155397,-0.04011818710944425,0.15075748941868689,0.03304510369124249
WIF1,,-0.0331701830598958,,,0.03385400882139571,-0.0798726220338108,-0.010684023818308278,0.01104618498335837,-0.03468689377097461,0.07021151431234195,,,,,,,,,-0.031242323142214836,-0.0056848978509417844,,-0.026049694772475842
NPPC,0.011028904753201962,-0.028423162168216817,,-0.027079756257122865,-0.004500539735872864,-0.04090313157612724,-0.006604939054973497,0.02544162363136287,-0.025617214476595252,0.10825335502850737,,-0.05967420475612895,-0.09346672714573498,-0.06239039928596261,0.02290796585481124,-0.004399217450624,-0.029260283962380035,0.009431237269468777,0.02230646338755254,-0.04172810333983666,,0.06701331939626952
LYZ,-0.005456338411911905,0.16047044771321597,0.06751198373322763,0.04543839623899204,-0.018039838328692208,0.022540991014109148,-0.00653609354654772,0.008898636287035806,0.07145245556076017,0.030006310294464118,0.12985897425793583,0.1263677961352374,0.13106658255611917,0.06316204992923588,0.10892543118699893,0.06514822083207987,0.062654079799819,0.069702628333877,-0.0028680806384210524,-0.034583834152121136,0.1366656102534774,0.07412911966295933
EREG,,,,,-0.026442867592597293,,,,,0.05169006976355388,0.09204491877340745,,,,,0.041867660532413635,0.03572599998600888,,-0.04759587689834199,,0.0268057917512957,0.10222501062203895
SPTAN1,0.0481526427479994,0.09165864847136479,0.010229785856790474,-0.006940448956335526,0.09660553354421879,-0.02405693427161704,0.002219946639987284,0.05444113544400037,0.005192971391264968,0.053327021067375746,0.1302815618018273,0.009991090882544542,0.07545217384696316,0.05412641589730945,0.01191373858325297,-0.009727515330155893,-0.022809496101636288,0.052186155265245754,-0.062447229919012026,-0.0522951265487574,-0.04088711816187547,0.12613172950660032
PTH2,,,,,,,,,,,,,,,,,,,0.02680891725057451,,,
LIPC,0.04800031951760733,0.033342538068844386,0.028575900510209206,-0.013314965142454248,-0.01052971295666519,-0.034837475782311306,0.07019617199763324,-0.0027341962745941755,,-0.049066194687734745,-0.053815034604611935,0.0050362732470771365,-0.030151940122578005,0.09377064405414066,0.11888141103322417,,,0.023903319580706944,,,0.01985488772350637,0.10487834048121712
COL8A1,-0.033228781417253606,0.14545308491535944,0.05844166136153083,0.0014261470694510335,-0.0359800826285685,0.013030567735269309,0.04175535285751795,-0.0034669978247333787,-0.0500537827975187,0.009304667394203324,-0.039073794174688016,0.1843779177406197,0.037384252657544755,0.06031938865369653,0.1548707243662225,0.030656186169909623,0.02394130497630811,0.12407272604508247,0.0305446114563873,-0.042089832338872854,0.03523354879303782,-0.08665140628669794
GSTM2,0.0924441540761793,0.01335926081484644,-0.01831048441390193,-0.015706545098338704,0.039484635095111194,-0.018997193981762257,0.06451215508238543,-0.009582690083357444,0.0003834711890293663,-0.04357408226634411,0.05905473943127221,-0.002549643234790038,-0.058769520189510364,-0.07889013010750097,0.05412321003363572,0.03992479592660158,0.01235025919843078,-0.07639243226675126,-0.035925183348029785,0.013125812270303253,-0.009575317664018819,-0.06998282827074352
IL4,,,,,,,,,,,,,0.08642687448968306,,,,,,,,,
SPX,-0.031967874614076054,-0.031030490320155767,-0.04773215932371288,-0.0014002927193095573,0.06804766537536168,-0.010695061607694775,0.015327089079675883,0.014554375478315767,0.004261917421222682,0.02086385639557378,,-0.039891642161177875,,,-0.013202345980066239,0.04804311015608376,0.1487899830059729,-0.00838994404364032,-0.06439582175916002,0.09461554659705068,-0.06701559480456701,0.038763055278668156
MFGE8,0.09013882905411283,0.2683849577388566,0.0491559838543505,0.05227334550814643,0.03361767859502944,0.04377949843406137,0.04443663283102494,0.033370218484142934,0.048415802639623216,0.021302012815943083,0.035802320136424884,0.18580394362638983,0.18619286619900294,0.20587483116662772,0.24064456456752947,0.06257230612485101,0.046546906974671995,0.168887479742672,0.14276509453923808,0.057760572403313656,0.39563225329086815,0.06279602562815742
TGFA,0.051717482449563555,0.014877648861157597,-0.03726042032551542,-0.04272520445145242,-0.015658209277438516,0.0711350654570325,-0.08446661543089687,-0.03707252224038664,0.06508623424005584,-0.02147902786289708,0.050497546056011935,0.030613567647054023,-0.07244977541948888,-0.009584341983198944,-0.03727265581780965,-0.0011818083050340298,0.035824465364901026,-0.031313251867391555,-0.011796653330033354,-0.07343437205613984,0.029898765492738327,0.06917007446521384
SLIT2,0.07310993792700946,0.10230875857190973,0.01879415890118907,0.043847158764526745,-0.010431365685200982,-0.013524347182056785,0.013941792453480397,0.026547212564619466,0.03552086149149691,0.026283163285868525,0.10453987647311624,0.16159619978908074,0.11361560623270225,0.0929343729833939,0.0014125545791109871,0.04257702482168519,0.027219038486363808,0.0076176457581601485,-0.006599861502891406,-0.018621725994667934,0.09610201243413093,-0.013126663584217787
