,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
PODXL,-0.0047512152517091115,-0.012007867568678804,-0.03230158988611876,0.017045876577349708,-0.05111591510567997,0.060842915516836356,-0.010413217824704637,-0.03528365554174566,-0.0003700044964887965,0.05842396098885122,-0.033612868118924784,0.026815060933792195,0.026290207503362188,0.04034580425106405,-0.07161738763777091,0.040783859978181826,0.019388606267067697
LCN2,-0.015280260261005785,,,-0.006899608668150012,,,,,,,,,,-9.355548120365396e-05,-0.03870485571272151,,
C5,0.09678285798336511,-0.028799271882668898,-0.029242062706744194,-0.014417548248637847,0.038934405368366745,0.07188931902036638,0.0006817136066133333,-0.0006534711477272025,-0.003342917174775895,0.06439812119990117,-0.05092038288814978,0.019001866522935423,0.013753242270763428,0.04903637854297748,3.653579525749284e-05,-0.01555670705510021,0.02270615158730184
DLK1,,,,0.0017024928379274116,0.08288862177991271,,-0.019181733338940243,,0.11872521920563595,,0.042009716858831675,,,,,,
CXCL5,0.060031231078033695,-0.011689968384834404,0.006167936148513623,-0.013418477865561992,-0.01257938655955003,-0.019336912551131527,-0.021043483284911662,0.02875654960207751,-0.02058515517954735,,0.014493492772179163,,,-0.03398307868379052,-0.08939088502743558,-0.026720058398322158,0.06775431140457303
BCAN,0.11459420849638026,0.050450976226587535,-0.049742617479397476,0.04905624183859567,-0.031555441935256674,0.11479356840624842,-0.04895080731874305,-0.04250375070889347,-0.015240408817868574,0.060293939615461964,-0.13093145248708646,-0.09018592678245185,0.08478862676815534,0.10677648708788934,0.13974615857336994,-0.0019263584775826151,-0.005416089782148093
RELN,-0.0008933626393192684,-0.017305815193852478,-0.01377247953083682,-0.02534195860657494,0.03429034500165838,0.009351983575649729,-0.04399647133778024,0.00604773836547898,,-0.033330492478727866,,0.09178734197379128,,,,-0.026000310631483375,
COL4A3,0.0722015497618929,0.011619358181735566,-0.024302379831217902,0.030023046033386295,,,-0.03099736448572033,0.04275607381353947,,-0.027235982989589905,,,,,-0.01777199480902036,-0.013995657794395844,-0.03464938706481896
GNB3,0.11107555903103948,-0.013469169218791543,0.03531097692752006,0.010996150007923526,0.067869282308975,0.022698535358398386,0.019362582623093264,0.004473186324556624,-0.03626709242647304,0.02027485026735745,-0.0005399378575041146,-0.06834476765705166,-0.046572234947478024,-0.02661106213870986,0.0652563005692499,0.016294868028772787,-0.04392202531670895
PYY,,,,,,,-0.02121537338751213,,-0.01161639807941246,-0.020109176821591995,,,,-0.019177243446741443,0.03521868598905614,,0.017950694491679128
MSTN,-0.02017974510312606,0.06458632729230251,-0.01857789876379252,0.04971141001840638,-0.007568252663148699,0.08568384027515721,-0.03311266335226441,0.009826563033875978,,-0.03644389064075371,-0.042496078489705616,0.004531870537859218,0.07877776083034653,0.09573436011116553,-0.03278807859338328,-0.0005500465220127373,-0.01681806122541928
COL18A1,-0.027772044068255494,-0.06394925257892732,-0.04777588791078639,-0.013450292436047773,0.015517611776498881,0.08684943138939202,-0.009427370073782637,-0.043010755667308685,-0.033823999951597974,0.03757019064132836,-0.06056613373735511,-0.007780762562751725,0.03706692565127825,0.006376756976901724,-0.07659943319438228,0.03873806992146105,0.039726508498810674
FABP5,0.016376275330770313,0.0014849754670576696,-0.012827072411136646,-0.028943671818967277,-0.019908290456951232,0.059437493485184324,-0.011585641075061087,-0.0005359568817857069,-0.06997158873516818,0.03486699604946574,-0.05920623311946416,-0.025578471409671087,0.05748095871817055,-0.007008584490665561,0.06270280146230339,0.03713365388637934,0.040106423966483784
TGFB3,0.029776303245311636,-0.024345324063288473,-0.004913785216441017,-0.012954191779057399,-0.02882768218059353,0.11183597933437427,0.07068496699224698,0.00884965249241934,-0.02792833307016003,-0.00020724498270841118,0.005566902504634496,-0.0511779517043498,0.0420362128712382,-0.02955613978260025,0.01586816251662294,-0.01105248413767969,0.03813632817689321
BSG,0.08376217898950179,0.028273450666351355,0.021766295482513316,-0.008965323946037768,-0.010233401977553912,0.03805706517284028,0.02097075050959818,0.0076400871116945905,0.03347797266071006,0.004682130353285579,-0.014880533919380767,0.041416419896643956,0.0904448977956973,0.06198441980178753,0.02156608386356477,-0.01096028247336676,-0.02618334806708693
TDGF1,,,,,-0.01517421750435747,,-0.0005891182790189263,-0.014020666258524654,,,,,,,,,
BMP8A,,,,,,,,,,,,,,,,,-0.0054301030769341695
S100A10,-0.09472123701750171,-0.06574358800696205,0.0066688282221156765,-0.02623587191996414,0.01642745555865505,0.07071890654958587,0.01218569830563794,0.07932512631529716,-0.03997966124562716,0.014316064927741949,0.11962817951681684,0.03708901138550273,0.052331071124108564,-0.07807481928393216,-0.13742436012918502,-0.014126178539106879,-0.08256513191232198
PLAT,-0.0019954669179163467,-0.0031140058583547536,0.004453920508207625,0.05774812765506755,0.011712055781175495,0.061101430567341644,0.026746487981720746,0.031768542416569436,-0.014233810662794048,0.01892867709581653,-0.05568553646403282,0.008890351609106515,0.091115801418654,0.042844850492787606,0.06012498999598961,0.033017899223953984,0.03624328818981778
SFTPD,-0.04046381163754817,0.07353631804380503,-0.016740559496146785,,-0.030361030549838717,,0.013807571538994161,0.008324823691243327,,0.005166559586809877,0.00419660987001171,-0.12492390161042338,0.07422647934216242,0.04268350244628809,0.010050837334016793,-0.003882000949403712,0.09040417787142122
EPO,0.07768034839425585,-0.00714534204456243,,-0.0072346273363483385,,,-0.0157534267727245,,-0.010718284312342535,-0.024568493330940615,,-0.04580768397046273,-0.031115884893250473,0.08167236584381077,0.008298916339422181,0.03118643409912682,-0.01906963333350997
FGF7,-0.07389807369400768,,-0.01772391601648351,-0.037518573320199165,0.04523374155319134,0.04787750928153695,0.00013689443971346164,0.008578422892815282,-0.016561560265093263,-0.00439012820220971,-0.0032845921874300873,0.05621963416294478,0.03501993933177612,-0.0039028636826838833,0.03756794920269026,-0.004136056597773568,0.013065738032045207
CGN,-0.0006530500563340344,-0.03792804418734466,-0.015110544172264881,-0.002431680006147148,0.04006549920250746,0.08404420238469196,0.0658992232441163,-0.007292916996716283,,-0.026326389330901343,0.027803867367102136,0.015037159845455035,-0.00934955456056967,0.06283365649605505,0.019353672992719576,0.021089790774306866,-0.0026545862454440826
FGF13,0.05494709946490504,0.002032382919001133,-0.0357713270448741,0.006073169860046244,0.019501905064761897,-0.05816723262981043,-0.027861027587793703,0.006604221060289617,-0.014555054348812643,-0.0293629657154907,,,,0.048739518636105324,0.09239018666755958,0.04086541364398846,-0.018791686635474675
CXCL13,,,-0.026510924317951993,,,,,,-0.03913207070329126,,,,,0.013177342025234007,-0.03667876274588157,0.05019345937382835,
ACTR2,0.012634457457024408,-0.008513345868899836,-0.012427148163220509,-0.01223646480230632,-0.002274292305923921,0.04190870799827476,0.003147348837747825,0.02093524021125906,-0.0253700579088582,0.004355591226617383,-0.06013413450895177,-0.040863543869977904,-0.010405379540543975,-0.05408607589197277,-0.09069942307083001,-0.026483711253364364,-0.0433673649146407
SLIT2,-0.024933245811852585,-0.038910835745174524,-0.02600398682410119,-0.027411375885771493,0.033396081552789954,-0.052026745068243195,0.03410711780203081,0.032294065458935886,0.02673756955600231,-0.03842126472941019,-0.046840327949052775,-0.009456787516982064,0.14826262750609953,0.001552421335534074,0.017535916957944694,0.039998539095440204,0.03435141856007514
