,UKF269,UKF296,ZH8811Bbulk
CLCF1,0.03810161248181791,-0.01482799575637048,0.003776059805110299
PSAP,-0.04231471051915708,-0.07327058156081866,-0.09094571787171556
EFEMP1,0.05193361097145343,0.013484875896003211,-0.038329606026828035
C1QTNF1,0.024721127710023372,-0.028467572353650262,-0.07790444200090478
ALB,-0.017553682829870673,-0.01978089855937507,-0.008304956380281236
EFNA3,-0.043910869820745005,0.04856456525421732,0.05386151676985106
DRAXIN,0.03518439638269095,0.03863195959875941,-0.004015013091943219
RAET1L,,0.059678785602498216,-0.015175129088903117
NPTX2,-0.09755120463707027,-0.03548601341893203,0.013592062023340908
FGF11,0.10947837630477934,0.042899883691717516,-0.0017412859977869726
CD59,-0.061577518281637766,-0.027377660543038144,-0.047273471134528164
COL9A2,0.01973615102266539,-0.007677332176356961,0.06534326750721642
DLL3,0.060223562779227024,0.02154368268341697,0.10588776036467357
FGF5,-0.013977898819777344,,
LIN7C,0.048280822339711996,0.00925085968905923,0.02917586342423296
GDF7,-0.025004176770865576,0.00047375907735876623,-0.013008859713504564
PSPN,0.052034206004634084,-0.011156522669996553,-0.05026459287636529
ANGPT1,0.07860471391114661,0.028787252975824816,-0.02191502646310775
PNOC,-0.056479802805062505,0.03794017978816957,-0.013833678641318273
L1CAM,-0.061336682921154295,-0.0048653258305677545,-0.054903536548092484
APOA1,0.08798835207732973,-0.005513890105528713,-0.0015897629491742479
PSEN1,-0.001620585466470221,-0.017548341258336715,0.027449147766066242
CALM2,-0.08893047347710076,-0.020483291732664385,0.1121013526554122
CLEC2B,0.0766633999815065,-0.020968681935337442,0.00941662786002257
NTNG1,0.024601071646166487,-0.005165781194981659,0.015784649773837277
LRIG1,0.04358921863544986,0.002083564791129002,0.06675400294794012
CPAMD8,-0.012644890580286927,0.0067303044296875714,-0.014614403285869139
GHRL,-0.02689114318605896,-0.03214086882050391,
NPY,-0.019915110206221078,-0.019788723532394942,0.0007040726636597367
MMP2,0.08928657386162622,-0.03928644820245194,0.028890878362840662
PPY,,,-0.043498772722702334
ALKAL2,-0.014337202770819985,-0.04803034154440994,-0.03148203748495464
CSF1,0.023684764414487438,-0.02097170127034717,-0.06050212639677038
SEMA4C,-0.0007191401483194174,-0.04520622673284385,0.007132668297426086
ICAM2,0.030224985114829492,0.03934949867913765,-0.013567854548960308
SYTL3,0.08646262724910561,0.03770607670836427,0.007450075180570513
IL1A,0.0792917106525186,-0.03134593348508814,-0.02157787176949275
HLA-G,,,0.009921200559500814
PGF,0.09299531752809037,0.05113402499123445,0.0376238833171791
LGALS8,0.06341467185250298,-0.02400416263969291,-0.018928844861736197
DKK3,-0.08132893267899903,-0.05965043158487852,0.02801310571289486
COL16A1,0.04658867949194497,0.02301401132303319,0.05586399164143461
TPH1,-0.015031584685050137,,-0.018797525085886783
TNC,0.07475892286284265,-0.0036847159951584533,-0.07805857390167105
TNFSF9,-0.033932370868669896,0.01379755573568904,0.01696863479419574
CNTN2,-0.019963193694565767,-0.005469616925154134,0.10581270459524703
F7,-0.012644883230653532,,
LUM,0.06380429391166627,0.009566622590455287,0.010301210176867016
BTC,,-0.013675980636979558,-0.022168398941671424
APOC1,0.12560556729069294,-0.008579372760908702,0.022232912601707858
PKM,0.006834033604447522,0.007942853549314802,-0.09843038151648528
TNF,-0.0185579351662952,-0.008480792676239399,-0.015175133227922988
GNAS,-0.05082996983183728,-0.05667403680857724,-0.009408770591978019
BMP8B,-0.04021127988080874,-0.030956002854253147,0.003127686756045043
LIPH,,,-0.016918968013127735
CCL28,,-0.013736258816655173,
PTPN11,0.05824051832768218,-0.019378969522755692,-0.033872118075234235
ADAM12,-0.00515013381532143,-0.004441953424394859,-0.008298259501462752
EPO,,,-0.01757163807535197
EDN3,-0.022404948768111516,-0.0332213914983489,-0.005518492781958896
CCL22,,,-0.016068993970718388
CCL2,0.025388024255203687,0.06405720705869343,-0.06636313431143952
DSCAM,-0.022985988995172502,0.0012432704524915255,0.05368571112866188
ANG,0.04913150436238392,-0.026543695131285648,0.05617385198250115
FBLN2,-0.03230980826134476,0.05629681454805932,-0.013945961513810697
VTN,-0.021315147698529366,-0.0420680617439073,-0.012356021661868544
VEGFA,0.021712838951428365,-0.010906993402281082,-0.07542737113120436
F10,0.055479486723512064,-0.002400331311768158,-0.0020444992667367416
SERPINA1,0.08622732423513559,0.011308367805431938,-0.004507316905667326
VWF,0.08151395848197299,0.02961798590632381,0.016477902705264558
GDNF,,,-0.01662696454122804
VASP,0.08969460132457091,0.009140522610694984,0.027467698567075406
ADAM15,0.02237432164303671,0.04886700122632809,-0.028932738973558816
WNT2,-0.032457483496987474,0.008409742359907492,0.005138872966573601
CALCB,-0.01397789866787497,,-0.021373655757708124
OLFM2,-0.045606823839433305,0.015798854083575443,0.07002882104371583
MFAP2,0.002383223715721551,0.035487990318259915,-0.002011243265822895
HLA-C,0.11407287170247976,-0.027609509139085445,-0.04838048265321103
THBS1,0.03894796307044584,0.0656350352647704,-0.02403597559775274
HSPA4,0.005373863635176884,-0.01147775997426356,-0.006278483541323658
LMAN1,0.07231163843330965,0.05302045392055432,-0.05094534998443144
LYPD3,0.08580036989444301,0.0067206746870340965,-0.007235649823703509
APOE,0.0518554928609922,0.0103597823609159,0.011252800787875989
SOSTDC1,-0.02890475906488596,-0.03736302653716498,0.020405309451483836
ANXA1,0.07993095101086685,0.022653331344162083,-0.042615790321244754
WNT2B,-0.011356655293809722,-0.013895733894427702,0.05866049237983604
AMH,0.02563988655479842,0.08403597637649639,0.004526745861347082
GDF10,-0.022523219908767614,0.03990434311212136,-0.01161840697335734
EFNB3,-0.028463918104594973,-0.035857924391742534,-0.0022305359096733398
LTB,0.04394287209985688,-0.045087104155235785,-0.025420881525524925
ANGPT2,0.06791823273124444,0.027958758076970572,0.03971464723414384
ADAM17,0.08220091059892057,0.000549883573163901,-0.024947849887527556
LRPAP1,0.04643017712590412,-0.007965543665913092,0.02831598133622242
NID1,0.08252689800939086,0.026227239749004885,-0.029552433014039
MST1,0.06750418769695601,0.07716888126353114,0.0004940553126363588
IL13,-0.014158629042964015,,
DCN,0.016926606433812285,0.01739684703773878,-0.019379527658994578
IGFL2,,,-0.017410567779795577
COL7A1,0.01997776227861238,0.010750068738228997,-0.08355735714057926
CALR,0.030190422243930655,-0.05953469151852784,-0.06978034432756854
