,ZH8811Bbulk,ZH881T1
FGF2,0.010861307865742548,-0.007622465600354226
AGRP,-0.012813584119932496,0.004547652393566418
CNTN3,0.026913157686342885,0.07998674631952175
RNASE2,-0.013351082763042706,-0.01152057696951361
ADM2,,-0.03259087205168482
GAL,-0.03760871525680315,-0.032854479984258576
CXCL6,-0.05162247164876426,0.009786155886296924
PDGFC,0.03286649120631484,-0.024160610781487766
COL8A2,0.030879907093240948,0.007133377309771079
SPON2,-0.022525535523832102,-0.04914887219999798
LCN2,-0.026980210500494695,
BMP6,0.0835521216847065,0.0261822578200334
TIMP2,-0.08283354284972225,-0.07177501896929511
EFNA1,0.030261690668481556,-0.05466417395082797
TFPI,-0.016921561168367336,-0.031061532490477845
GPC3,0.0079503079087681,0.033028458450166276
NMU,0.13067754906921009,0.01651603212681015
SCGB3A2,-0.02321123933790942,-0.008746486311266916
LAMB3,-0.04148197802746287,0.009616790320530184
LGALS9,-0.03559176474968242,-0.026451467453639396
VIM,-0.11505710092370436,-0.04685245309479062
PLAU,-0.0016393249535390623,-0.055916112657204295
TGFB3,0.005738374262169937,-0.049802822013519044
APLN,-0.031586365188384286,-0.013334864895946385
SHANK2,0.08683906810079348,0.047678725893907405
LTF,-0.05275990945394252,0.07288069363333564
PYY,-0.01838339464388896,
PENK,,-0.0016496481044173071
CTF1,0.026985229223566328,-0.007673962977401028
COL3A1,-0.08975997211325054,0.004462171529082394
S100A10,-0.07175706340622072,-0.026806278234267438
FGF13,-0.013868520549743949,0.06522880201993839
SEMA4A,0.00022080038022366047,0.038560513898592275
EFNA4,0.049966918096862586,0.0362097937101123
HSPA8,0.034623247013690635,0.06467347543394317
NPB,0.0071787060371015675,0.072957609178502
ULBP1,-0.015655384121587627,-0.008753220262504557
SEMA3E,0.0566737017626441,-0.05323959189476643
FGF3,0.10782283659482324,-0.04133840760646503
ADAM9,-0.07311903557445806,-0.028855425197743874
ASIP,-0.014778665417269805,0.042866299331657434
IBSP,-0.008675672193192317,-0.09238823707693744
MMP12,,-0.024168617683772355
FAT4,0.05724544774733326,0.0733076723559311
MDK,-0.04343560289107318,0.0664984163895249
BMP5,-0.014425103099446236,-0.05711006283714784
CAMP,-0.014895203646410235,0.022340592832034063
HSPA1A,-0.08996643047908075,-0.008721291184324633
SEMA3F,0.012569383481608876,-0.05038969244256235
ARF6,-0.024915847929710536,-0.002071165147309796
IL6,-0.04705131663390505,0.017511266583107893
CALM1,-0.003609393828852148,0.11894895261641714
NMB,0.031133483234299486,0.02802316696957379
CCL26,-0.03718501098183662,-0.03371130719938996
FBLN1,-0.004018963554928722,-0.023785034865576555
SAA1,-0.1281124363437973,-0.04280210602639113
MICB,0.010490758911847193,-0.033849591804975494
F13A1,-0.08282572680265546,-0.01640364568497584
COL5A2,-0.08439986937763871,0.026188697689576004
EFNA5,0.03892885128758743,0.007875001325020432
AREG,-0.025035651389770583,-0.030485972327514488
EDIL3,-0.02167736578002884,0.029605592549794824
CD86,0.03693689019815663,0.03533337072559648
AHSG,-0.015481199430079152,
HRAS,0.007696706186500833,0.007591348662510868
C1QTNF5,0.022082698580923352,-0.028370206705757146
RLN1,0.05405688413680194,
COL4A1,-0.03673607617441435,-0.05047222709735946
CCL3,0.006064488877318676,0.022827123874510025
BGN,-0.07769623285368632,-0.01668349446727921
RETN,-0.02917036999230499,0.09925003695885602
S100A9,-0.05647203227192903,-0.03575700164294626
HCRT,0.06568152492701433,0.05505443814348389
FADD,0.004400298323475512,0.016025443922013525
ACTR2,-0.0616298418143573,-0.09736630257542418
BMP2,0.030151391383124015,0.024873035119259375
PDYN,-0.017929628866947794,0.04396720640420674
CD55,0.01330169405554441,-0.07865494916926524
PDX1,0.0043790654308028185,0.14526325207148708
CD6,,0.022084306950943874
IL16,-0.03621250342322054,0.005028417520685971
LAMA5,-0.003122350086929742,-0.012610713577625526
RGMB,0.04548176115569665,0.07338234848061376
IL12A,0.09323207062935958,0.028143602356653113
S100A8,-0.09144073325157509,-0.007076976893970744
TAC3,0.015735851604751612,0.04619292754359568
MFAP5,0.0706503628947221,-0.01275926747378892
CXCL16,0.014496786003521759,-0.07948499091857517
AGRN,0.06977329165350792,-0.008344281205850927
COL4A6,0.01610858747579608,0.03830067705532013
FST,-0.030577425573029497,0.020825402095482178
MEGF10,0.06956909718007094,-0.01308459404418589
C1QB,0.016324156845536984,-0.07324211431589812
HLA-B,-0.08426536595726473,-0.1335481851832725
PDGFA,-0.04174512923477289,0.011977182986459214
LAMA3,0.10758767454990159,-0.028068030708596467
DKK1,-0.05593463272490047,0.009648576553544126
INHBA,0.02312384225613492,0.0750795044475083
IL7,0.021455501781064333,0.017885067531258254
FABP5,0.06821933649386781,0.06865555146515391
CCL4,-0.04977283520953214,0.03790951091218444
FBN1,-0.026220786226464645,0.008536434023785995
TCTN1,0.021993492779661065,-0.035852778849978964
NCR3LG1,-0.020516496653719997,-0.03576259132631387
BMP7,-0.0637384467826882,0.0016037612144814686
NLGN2,0.07013470276801735,0.006442055348609413
CCL25,0.07050222029245827,0.048698552880380164
NPNT,0.008412856261231727,0.0385563999536785
KITLG,-0.001999698368112792,0.013728722857735237
MADCAM1,-0.015998463020848386,-0.02586076885924786
F12,0.04941637978024024,0.07471870727492898
S100B,0.0864124311221509,-0.06495863274749457
