,UKF296,UKF304,ZH1019T1,ZH8812bulk
ADAM17,0.004966714712719677,-0.012720734089689342,-0.035110820751686554,0.06664341054809936
LRPAP1,-0.002314930367245172,-0.06843575962046848,-0.09884641652980655,-0.008388875622639307
NID1,-0.005519948191397965,0.07430903183092508,-0.015963437119246502,-0.06231914247198949
MST1,-0.01046905152032502,0.02325292357557036,0.058937314536817165,-0.02770525764147021
DCN,-0.016192270545596528,0.010150460136379776,0.017310983425330974,-0.037765965813006994
COL7A1,-0.02661917553862059,0.05638219656921328,-0.10336363452215325,-0.01740055741914776
CALR,0.04939642637198723,0.12352958599133038,-0.08392352073114757,0.0945423258929867
PIGA,-0.00908927160493914,-0.011306588988415568,-0.045032223886945756,-0.00836454735874242
CD200,-0.02331201413006788,-0.013752000600564605,-0.0254788748315327,0.014682499146712132
GRP,-0.01816254478022161,0.06423996398405127,,0.01785469160364878
CDH1,,0.038398231055314085,0.1008557663496984,-0.029753286705814366
LPL,-0.03379198451946493,0.025621855491209867,0.0735897965597649,-0.04886361778287399
SEMA5A,-0.032373869547850875,0.01018504205349729,-0.06045979061436645,0.049097433632320726
SEMA7A,-0.0356044908072283,-0.06265787048598721,0.011213083683086683,0.04509149738911514
SEMA4G,-0.03205053653335882,-0.023187755483144598,0.05840548638071579,0.0009713771047129576
SEMA3B,0.004977045592316001,0.14090141231502123,-0.009156393891316254,0.00491063052860193
RPH3A,-0.0048632156370069304,-0.08793431765643213,,0.08989964473932238
JAG2,-0.006999205967877636,-0.03174177943347224,-0.04219722265291047,-0.014401792510299497
CGN,-0.013755591778644419,-0.034679174974807866,-0.06493826271656689,-0.0073012588314785585
GDF15,,0.07522827619410123,0.0005164078696893397,0.028162465056590393
SEMA4F,-0.01681853421710691,-0.02685935452939022,-0.011840499238963336,0.022130917125898736
NXPH1,-0.011284563753456003,-0.031250050727316354,-0.009090867492143972,-0.022786941749452023
ARF1,-0.04758300206613478,0.015071654794948581,-0.06832459650301545,0.003945562819236465
EBI3,0.004778983993654179,-3.53599973522711e-06,0.019309244697696928,-0.07399190609592401
