,UKF243,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
CD24,0.04131822674801977,0.054636592588756194,0.0005366282174671813,0.0359786396971475,-0.00889646818981835,0.010690737342134958,-0.03698522117538191,-0.09143092696466795,0.22583019714188204,0.02127382248403408,0.08971073750997742,0.035717351875752174,0.014898534617560896,0.01633136777951479,0.041662308399980696,0.0647870087378077,-0.013978571195513054,0.06406811363848781,-0.1945937775223241,-0.023837998388752637
HSP90AA1,-0.03886328624522484,-0.10077433081914293,0.054033756176389065,0.04252921717956016,0.024958252302518306,-0.12322588679619798,0.027859176574314266,-0.03062824149191718,-0.013370552943705444,-0.01830538464756099,0.01231143976876478,0.06013031922319544,-0.09223806496353501,0.051623128961289205,-0.07658380885820815,-0.15701272489031148,-0.024987487472800027,-0.02586111087662955,-0.033139191552392616,-0.0923243213297565
BMP4,-0.055074162366979075,0.02634493162864367,0.05393028940568347,-0.0012553024493219109,-0.0268184903105484,-0.01807053916035918,-0.016044445880624036,0.1072298945629184,-0.04036153185267306,-0.012320562690984494,0.020579738864119273,0.032381590273283606,0.07007062377375715,0.022274336401705164,0.04681724868717793,0.06171122897460525,0.05573768718261861,0.02129244242237302,0.08374757729737414,0.012875318001163271
SCGB3A1,,-0.0029582541910953344,,-0.04108687495938862,,,,-0.03130781920753867,0.04191090240004278,-0.010089300053500293,-0.037209539573231816,-0.0037782555584564524,0.003474686890226279,,0.05538295380590273,-0.01939004749818073,,0.08288049083904253,0.08382079963681065,0.032437940742358416
IGFBP4,-0.021162073577205707,0.10993914148417498,0.010732061834972507,-0.0051104687168420015,0.06423288215928603,0.1225939900435757,0.022880434294740886,0.02465421859891322,0.14333961554419533,-0.041478411718697324,0.03589561310670257,-0.08232898473230775,0.09425267390682504,0.08847474935971555,-0.024251939660008954,-0.10563005226597741,-0.011489748919897699,0.013839612301228845,0.3031099219346955,0.043555320591216855
RSPO4,0.07788061058695749,,0.01737559159898335,,0.019722470461461427,,-0.014048416255586268,,,0.04969342203654551,,,0.047238329587094736,,,,,0.007480746821757369,-0.0015741404289711593,0.02598258522722435
LEFTY2,0.013332832248654725,0.08409117028341721,0.042333723719241746,-0.05202114872635348,-0.029782644906403397,0.0856636202953678,0.011090592074876214,-0.01891800365294418,-0.04054439243144803,-0.017849475912695787,0.10785406086508761,0.10224569297467098,,-0.026573242288762067,0.04365726186245691,-0.039408481853595,0.00830101860837749,-0.006236734047053916,0.15880195934753158,-0.013711823492040264
PF4,,0.07903497183169188,-0.0008937110189850378,,-0.015191326641127814,,,,,,,,,,,0.02168515881544421,,,0.017507878226108168,0.02132442238832086
ANGPTL2,0.1098642224254666,0.07096456108577379,0.027043795157867572,-0.03330317853460417,-0.024949884953287253,0.10425554605660113,-0.011081244181241474,0.025064539817132806,-0.009877888209080882,0.003395116990424866,0.029407656515256203,0.03483064781809463,-0.006470467871413118,0.049931840314891306,0.0763107455645444,0.12214481911601138,-0.08632554132447798,0.006487048965410533,0.1788758580465692,-0.028402847164902763
LRIG2,0.07128111867248076,-0.027931756049079274,0.05698811071788574,0.011100384589293725,0.019964756783538627,0.013911152073067156,-0.008068380059285441,0.04379151020482037,0.10458464695740018,0.05135619393475282,0.06160931813147885,0.006470080379560969,0.03287276798104312,0.00677570494316106,-0.00909474190250853,0.012830874366638496,0.06345785081495625,-0.032088665396474494,0.08788526826812809,0.038804241704884015
