,UKF248,UKF269,UKF296,ZH8811Bbulk,ZH916bulk
AMH,-0.013077369145709256,-0.02696859386254105,-0.013186539010292387,-0.004254680683962235,0.03170228918469772
GDF10,-0.01632218545453697,-0.02118125790412237,0.029373038140486522,-0.0047717263964896835,0.03861301395208267
EFNB3,0.005119704798354354,-0.0021437551528437574,-0.049955780178102135,0.03927505790034175,-0.037107705297915905
LTB,0.025421187854501422,0.05133099869001425,-0.026462358542381215,0.11259593056855799,0.03724411683982766
ANGPT2,0.047956955422008965,0.0928972055915249,0.0021744861736893023,0.05253795825256296,-0.028812966164266197
ADAM17,-0.01679128752029015,0.06328828949845174,-0.025967393194454482,-0.004200105162876502,-0.05610876884152967
LRPAP1,0.03658683992759454,0.07726010913737948,0.017303939027750563,0.0541994275489806,-0.041803668861958514
NID1,0.030070042499645136,0.09386529554195636,0.03339121964990786,0.0008732627302107177,-0.0029452381537194345
MST1,-0.006475002005694122,0.05831680529006194,0.06256838907168281,0.07289704306839198,0.019386957804177356
IL13,,-0.013315039969532818,,,
DCN,-0.015898435820133873,0.09878619601013398,-0.03348836580325176,0.05900688628507842,-0.015424241844753696
IGFL2,,,,-0.02052320350618196,
COL7A1,-0.05627819380293758,0.06266873947328709,-0.023905277270253156,0.016964212661744957,0.031107120147738133
CALR,0.049321011355981124,0.10049426686355546,0.04491332478897737,0.02093083096149796,0.021609198374711733
PIGA,0.03356762134511838,0.11486568342106183,0.0022786399983575046,0.044637233404146354,0.004858109108839479
CD200,-0.021605285549438597,-0.04446401311517944,0.012665175459080753,0.036926347138482515,-0.06543963149519669
GRP,0.041000148024552346,,-0.01631082331136264,0.06708592136031621,-0.010355382038933237
CDH1,0.05361163640407998,0.03833984332370087,,0.06460210435729322,-0.016017573368032008
LPL,0.0564431300982983,0.07872696236536605,-0.027004292142829338,0.015990816896886445,0.00243211125753302
SEMA5A,0.025406886066813617,0.024002417061783028,0.015650871479841805,0.043190610985107146,-0.032608479500622956
SEMA7A,-0.052938461972381265,-0.006047408888135836,-0.011157593980758803,-0.004296801240052775,-0.02610283423750651
SEMA4G,-0.0025182396566363822,0.02599299399113038,0.010819757886506898,0.036586263419586505,-0.04271079907091909
SEMA3B,-0.03005682542062469,-0.021517527897966838,0.03783055935987239,-0.004925502966378132,0.02846923819551285
RPH3A,0.033287333175104565,-0.043759618317498195,-0.03854498547936028,0.04685805654080347,-0.06612378844403291
JAG2,0.025938398106749555,0.038088003696524916,-0.017160731747559416,0.006200542540008985,0.04786659295823938
CGN,0.028596930949859305,0.12768124199012534,-0.012353171307196304,0.040191028603293814,-0.011992174179436389
GDF15,-0.011096078148881265,0.024216347909953608,,-0.0327951836350876,0.005771347802211056
SEMA4F,0.04086910643316072,0.009450727669872688,-0.017588476024578976,0.024362486326968254,-0.01536981130524966
NXPH1,-0.01605394572235169,0.03982935717903069,-0.025380672534299823,0.0764185232808925,-0.005091533286413582
