,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
PODXL,-0.061636815350074814,0.058366909985504416,0.021894974516731495,-0.09362571742319109,-0.009263215890874569,-0.04031402657816145,-0.01768512675979002,-0.0445709494309386,0.036857100562422744,0.08141716788080226,-0.034128267551558775,0.005765511807365623,0.015179135420597649,-0.022676022815531563,0.11665359432655718,0.023034162182846582,-0.043294905120244434
LCN2,,,,-0.016379826663607138,,,,,,,,0.029864730251158888,-0.04267611710051019,,,,
C5,-0.04332027135723093,0.004724800297410116,-0.03813103148103903,-0.0051049052300113475,-0.004416804142353854,-0.03212031467141928,0.05308693795152955,-0.00023814895442568818,-0.0054578124213489655,-0.0021485010137808035,-0.025495790578873734,-0.023517123871311947,0.08021643263979535,0.02060203439225354,0.012359928495728582,0.03153507041547404,-0.018053857451757648
DLK1,,,,-0.02302813063192826,0.06193553517464202,-0.008556686603605245,,,,-0.004606733617094747,-0.06538201551165085,,,,,,0.050823478696732934
CXCL5,0.0675579046504352,0.02781886908447159,-0.00632190605367205,0.2046544548871821,0.03894593719083869,-0.01126927208953742,0.015089119727996004,-0.002695337964247231,,-0.01477915756050849,-0.06010457809310233,-0.05556935112622483,-0.05697277638167645,-0.0009117616626919908,-0.03955864525889861,0.01982326421714365,-0.004839517099409417
BCAN,-0.1253874861835582,-9.55175670640254e-05,0.008113004481205612,-0.06281395372902566,-0.06518347482607174,-0.09206463602417402,-0.02542901854062372,-0.007136054357871191,0.06957088700643636,-0.03517508816794264,0.04731052737850526,-0.00854695839491369,0.12112454202669849,-0.035485421808900186,0.03337993567144483,-0.07786617579980795,0.024720401207734884
RELN,-0.016307591229101158,0.08540075421167144,-0.029896548855449484,0.08014035399363513,0.043860936600548725,0.0005429784333993946,0.07601234614692766,-0.05416577195213413,-0.021590234373472825,,,,,-0.04144716400515455,-0.018288231795546558,,0.005429793491416519
COL4A3,,-0.02859929931748417,-0.03168978945505837,-0.047307998480267954,-0.0673671332748412,,0.05771324872634218,,-0.03205590181500287,,,,-0.01959546722532099,-0.011449989675857584,0.020115312970374426,0.0677959390147248,-0.03326256034181626
GNB3,-0.02913025504031313,-0.06911496044323621,0.07832935496243536,-0.013532168361303061,-0.0619169508131319,-0.03983670718770255,-0.027326767445404847,0.06906043683945777,0.0024748741331068577,-0.03122862465297357,0.043584235147021165,-0.022354173877871066,0.05988000487363034,-0.03634032970020341,0.0006898144936133588,-0.033146298733194066,0.0481880294738838
PYY,,,,,,,,,-0.008488648823052974,,,0.008708268657636487,0.041537753877328214,,,0.007457417486210446,-0.02592472303870687
MSTN,-0.08177225875036716,0.02289580659800716,0.002683590381241969,0.0005670470510627059,-0.0931401670743856,-0.028774205908902898,-0.00796676790866158,,0.061690708955731054,0.005006552311397077,-0.0056593885194814435,0.012440336998348848,0.0029949904203919945,-0.028857969621901527,-0.02739383713367874,-0.023704791892452663,-0.03752182998144314
COL18A1,-0.013478003414068754,0.04361224268738989,0.04667675377423293,-0.06044575287039277,-0.048765294758068414,-0.08513751773680954,0.04309650635924744,0.09332075867015997,0.064281712541355,0.03806886992920447,-0.015157924071275907,0.039898090367277476,-0.06894575595548309,-0.0067493483382787154,-0.003906293770117918,0.09181058217498131,0.035463307299176405
FABP5,-0.04077691484280999,0.0831369443935411,0.009359818477341615,0.04322745488725082,0.011754635504273884,-0.021637593103521577,-0.05690703658145528,-0.054548201355889996,0.024984614882325944,0.07167435752356606,0.01328994604693623,0.0024992695640917253,0.0007331083085165494,0.08453248089250028,0.07418325690633462,-0.019911835805587513,-0.08858535214844858
TGFB3,-0.03179139351949907,0.029507287461586058,-0.03233955909462274,-0.06737970628798845,0.005251168400325792,0.00047720752761354313,0.0064070863783619696,0.044001956736758475,0.061073647436546905,-0.056322681925269125,0.07430913087573902,0.006521685991617972,-0.03256555135876592,-0.018108774224728542,0.0007372799593244828,0.053702178723463494,0.02103683689032917
BSG,-0.06833641085223978,0.007779621216412574,-0.00798299520321198,-0.007044645657407749,-0.07844366030622062,-0.004688141019019749,0.03883091795037965,-0.05168729320365769,0.005440800493697804,0.06011570098207299,-0.026880721311653435,0.02104551559496038,-0.06864385731593244,0.0017747023791233585,-0.004794813006449373,-0.025485046747458617,-0.02292645733477425
TDGF1,,,,,,-0.013593857299234046,-0.012577799424893402,0.004296709258337315,,,,,,,,,
BMP8A,,,,,,,,,,,,,,,,-0.018231143999991775,
