,UKF243,ZH1019T1,ZH916T1
NPPA,-0.030541024357530987,0.0471012506318076,0.10606942447726614
APOB,,,-0.015270911891308404
C4B,-0.026904305014272968,,-0.016909911211394266
NTNG2,0.004098691499184529,0.10633968023510561,0.04066841576259893
LAMA1,-0.01516847471143105,-0.11099251587760331,0.07234666431084263
UCN,0.0038898473455729137,0.11498611403697605,0.025298559589568215
ARTN,-0.030770242186457457,-0.04884840927629269,0.06522617159758498
PDGFD,0.029606035792851596,-0.0727327575211822,0.09134024142225403
EDN1,-0.007873275567323373,0.10748184927152958,0.07110122456527282
ARPC5,-0.01698645991624393,-0.06944868099624917,-0.05156941481579541
GSTO1,-0.05090770410733448,0.12013592052268296,-0.015147343886696356
PROK2,,,0.01574371304941045
SYK,-0.03961388246627834,-0.011098953803424527,0.050453181136719455
CD40LG,,,-0.01651445836299546
ST6GAL1,-0.019786753427777515,-0.04844228610721987,0.07096528697131027
WNT3,-0.0014690949046893159,-0.040131859206987336,0.04485877666293813
HSP90B1,-0.013905677154799874,0.03698072969380929,-0.08774352625197714
ZP3,0.015811531620367428,-0.027693647508841776,0.16915249114658926
NRG2,0.022434657824337005,0.09925398410532817,0.058538476523891464
MELTF,0.00475795462018394,0.04505760947925794,0.041343713908880045
NLGN1,0.015401462027529076,0.00685756736128198,0.09869219671475378
SLIT3,-0.05276431913645972,-0.020081206183687215,-0.043647536491842144
CCL8,-0.020368831835766772,-0.051958235681874014,0.02634798608092542
S100A4,-0.03274124620638224,-0.008410570018933172,-0.08221470989591277
TNFSF13B,0.0028165184414453604,0.06530536707771183,0.010587982233662172
HSPG2,0.0057847050344031325,0.10861824175372461,-0.10925477205182778
FAM3C,0.04233237929715294,0.006113414258269086,0.022475385967517678
FLT3LG,-0.006121575776676513,-0.021674102651396066,0.008118790815197365
A2M,0.019009819475723673,0.0742464667161703,-0.05181294400634821
VCL,0.019955671048520283,0.02420135615591154,-0.053773475902045564
FGF2,0.06638355064755146,0.0374499922263412,0.016323195689151544
AGRP,,0.01968616114375113,
CNTN3,-0.03786825882766591,-0.04963985841354804,
RNASE2,-0.046165751115952,-0.0493514231039132,0.0640019987642637
ADM2,-0.04523913856116301,-0.03265901461457079,-0.015695703390458556
GAL,-0.027664863495629768,0.04204074752812451,-0.015484680271394676
CXCL6,-0.02421759681216252,,-0.02835979947284541
PDGFC,0.040526063835956694,0.08699621473211235,0.03937220194005211
COL8A2,0.024522893209505025,0.04246445748759791,0.10956928673880031
SPON2,-0.0018105732797177526,0.019980328485138976,-0.05523419174239003
LCN2,-0.020908465753706005,,
SEMA3D,,-0.03885463950631184,
BMP6,,,-0.032351254169342494
TIMP2,0.035660185496595484,-0.12094771478360669,0.024641959357321462
EFNA1,-0.011721400659717511,0.0384700447356061,0.004493222874088779
S100A12,,,-0.017104431125034646
TFPI,0.1030436606648075,-0.03094384164579814,-0.042827817248390326
GPC3,0.05014722094119671,-0.03321399441804303,0.045932403748069645
NMU,0.001630136196874565,0.05584325900936007,0.0071240205439790484
SCGB3A2,,,-0.024690561478242747
