,UKF243,UKF248,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
PCSK1N,0.027922223241021768,-0.06076257735574618,-0.022976053814400293,0.021540290071075798,0.04552267445939966,0.003145452477507608,-0.005499090347493458,-0.049753958692045706,0.03624430778358307,0.00626643903790481,0.05607263364759097,0.060623397274970396,-0.0813371983494487,0.04216215282029326,-0.04435202244117501,-0.01411223445135301,0.0666098754322132,0.008312348175201193,0.043756992461189095,-0.07063467052651148,0.020462688415588057
NTS,,,,-0.05675889037864427,0.14866806997483933,-0.017366318083614038,-0.019366702182931742,-0.02360318421084312,,,,,,,-0.055161763438292016,-0.024369427434234318,,0.007288677410318738,0.013016869395795865,,
SFRP1,-0.05367175801310485,0.0498132762388888,-0.020474551399205575,0.0552518222905356,0.00029919841121195373,0.03877791564838365,-0.015983164186260612,-0.00949253848413488,0.025000661983557878,-0.004523968925602832,-0.007839532696066527,0.018529014569775577,0.013306882291920407,0.031126962140712026,0.04128883247232686,0.059769950341916636,-0.03633765273010897,0.0635132950470126,-0.028799538876348032,0.00999787615793418,-0.03785779800850172
CXCL13,,,,-0.019155958528059274,,,,,-0.010865811447133843,,,,,,0.00813472805411062,0.049065137169017614,,0.0018746194597562022,,-0.006627123152257206,
MICA,0.04055525495816523,0.050488993715613086,0.031375244076200876,0.051563611929511144,-0.016688378297880425,0.02750929605090312,-0.04012194495192475,0.06818089177197517,0.09667166279348645,-0.051402796966663784,0.031115732702589764,0.04956971462463561,-0.006005991949062651,0.051653837256276404,0.0002785263490814243,0.0799824978111638,0.04797824842306879,0.04471422045276658,0.03911898577179967,0.06218583072701235,0.07005439292373204
TG,-0.027710221466943543,-0.007731805914361075,-0.022095284829805866,-0.03198306054484358,-0.02039046430937279,-0.014669357904956706,-0.011566946396281657,,-0.036270591588393145,0.013041552900620692,-0.003641886233263392,-0.025170480583786754,0.02986793739062338,0.06316519360512236,0.040388860573065656,-0.036384912753812865,,-0.029468010737291772,0.005019633343416284,-0.03875198853432886,
ADA,-0.040978890638689563,-0.007294349804308661,-0.01837049905762674,0.04561766964583957,0.025338722993707177,-0.016758920604923774,-0.018785651162009736,0.039965263531642155,0.039007393758847736,0.0001197751864580405,0.09874667973532607,0.1382021602445268,-0.03541424353246471,-0.005455365131861406,0.08468146686764058,0.08679522745550179,0.003223247152327647,-0.04298210431529302,0.050293789740350335,0.095535377453233,-0.0501440556352152
LAMC3,-0.07233469860344736,0.032831435010545,0.029055683975056288,-0.026929361666699358,0.03881633854351913,0.004934789524063454,0.022748748474765247,0.03995341936612119,-0.030910967233794353,0.018436979621696617,-0.012566376710778626,0.024903914459533476,-0.03639872888247976,0.12853349878692794,0.03465357657963426,0.08546852919848738,0.01588102409515949,-0.013968775744153035,0.012077694517278718,0.056526557901254985,-0.04897225788775301
CCL7,,-0.018486382207701952,-0.01597485562966555,-0.025397264298999196,,,,,,,,,,,-0.024968802777099626,,,,-0.0005136755383927227,-0.008460447260031846,
NGF,-0.0200269131246998,-0.0088760941407374,-0.03660247441726146,-0.013703861874269878,0.03876843054877233,,,-0.023603199751973874,-0.04489627859267119,,,,-0.10753151753037678,-0.02923219782337811,-0.024940362665878794,0.02373631461297525,,-0.05502087662745407,-0.01768301715968004,0.012946297110397612,
TNFSF15,0.06600725680559785,,-0.01778878306381285,-0.018804048303328626,0.023516021140576847,,,,-0.01625746078667379,,-0.03731481183841658,,-0.07417675421104908,0.0179221783005892,-0.002736791575095291,,,-0.022234249210385828,-0.014650332752816457,0.10026316633255353,
HMGB1,-0.06607332169744415,-0.05014423029293954,0.02420633687529013,-0.01983765171463276,-0.02865803081435569,-0.022061178471370745,-0.05407204915095794,-0.008320987477852993,0.0675700172787553,-0.001936470010180977,-0.0035115232138422264,-0.09431099896572961,0.08641486155054583,-0.016993469023675132,-0.05274771890869682,-0.06593812155420795,0.004025068082121295,-0.003250579014646991,0.005988944300274208,-0.08390634677592465,-0.007128922742547044
ITGB3BP,-0.014657175952710624,0.017504517237062825,0.004513037840379376,-0.036831226714175096,0.02192290858723964,0.024864233058187846,-0.02436779083075158,0.017499053351356448,0.039530995775816105,0.025955864920151468,0.03425480596483716,-0.045844477682321964,-0.05470958495212585,0.054891386079405254,-0.012381153676512612,0.019272774739214342,0.022684642964833582,-0.009386153338124651,0.024331948104521606,0.04443234744336913,-0.04423114288655494
AANAT,-0.01915565829469041,-0.014287665820925518,-0.016185974994201213,0.026035181558648892,,-0.013192239291922002,-0.013333404391085777,-0.02219047899966927,,0.05565290560519743,,0.06055957696591966,,0.04862204422321078,0.052299122098802595,0.011672218884794132,0.006423073157840568,,0.055611245913874875,-0.026471142895907865,
RELN,0.032227090309267466,-0.052049948801734205,0.015055536376474905,0.017084187346180287,-0.028559190258320623,0.021806738149591918,0.016574998651548132,-0.000871506739147536,,0.06243909825990044,,,-0.07624763211396605,,,,-0.03624448156105773,0.1290107889043283,,0.05980348409931149,-0.002830083239879276
IL15,0.25792979850891623,-0.014183949358374446,-0.015563989540115532,-0.028087583593754847,-0.016811477073162318,0.02237362531608056,-0.02865785565432372,-0.006428222019416744,0.014586628754459157,0.002407478662305462,0.010304289731798193,0.004494938576064286,0.034498077749567674,-0.013598391761825056,0.09212930384740155,0.10968969427169507,0.07862925183433778,0.04905806925617836,-0.0034474779740272313,-0.011931607861177283,
UTS2,,,,,,,,,,,0.01556831450652332,0.09389946089503086,,,0.07681290384830469,,,,,,
BSG,-0.017447907332623414,0.053718919999431326,-0.01322596593239293,-0.04953411925852285,0.001545145742856019,0.009403848003286402,-0.040554736421081726,0.0065627517447843405,-0.06815352438965902,0.025160123840928677,0.06888933245442072,0.024308733105069202,0.038065817154097986,0.059261537788020416,0.06268908206904399,0.10845749033891232,0.028638631520438287,0.009461422640316101,0.016304829271556284,0.08289825624174464,0.0307499830582524
ADAMTS3,-0.045607864479678094,0.0049051213044436345,-0.040486622496302874,0.01734564200571877,-0.00022158316539412382,-0.03305883848031321,-0.04456921238951301,0.07676989813973097,-0.019838890229644465,0.08377428716989738,0.11427758205800181,0.01151093950554338,,-0.024532373101557436,0.021585047047608403,-0.0011747927705576136,0.0011890511188531385,-0.010252305680030193,0.09780797122270676,0.014008125242726535,
CD34,-0.05486952210909894,0.005720264164220898,0.029150347781565642,0.03881353994000914,0.09800152819610661,0.002372611800622046,-0.024946437585892108,0.023981795121536257,0.017328250740837162,-0.03969792329716663,-0.06830595017066166,-0.017250532644158083,-0.04907619131339724,0.10190343973906066,0.042021533115893975,0.006323641534476442,0.04320791936422682,-0.03974879277114192,0.07668326379906595,0.15381326324490863,0.053901087651404125
CCL23,,,,,,,,,,,0.02771818767332811,,,,,,,,,,
