,MGH258,UKF259,UKF275,UKF313,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1
TIMP3,-0.009945048029398053,0.019835792125661153,0.0394382953103313,-0.04553416274237852,-0.023138978061224412,-0.05372473544623245,0.07280996134307921,0.04434351194186347,0.04819757424733738,0.0583419003336247
PIGF,-0.010329799752939788,0.028844125194305847,0.03682510174620895,0.026461903960499692,-0.06389773927830651,0.008349042120655691,0.004147622658594684,-0.03123072335821776,-0.02258059256012067,-0.020312741383349545
CRH,,-0.013000142229763563,-0.015458693182902205,,,,-0.03967222349818259,0.03335718358493868,-0.00662330379432426,0.011405552628416022
BDNF,,-0.002321946081368634,-0.019436963429373233,-0.022716484022873695,-0.031124569536823483,,-0.029054281420847802,0.18635671948554355,0.0694212585218873,0.024795776022563436
CCL5,-0.02185961284774773,0.04854979475885483,-0.023189143452860658,0.025188081395750225,-0.01765279166905683,0.039230476091017666,-0.03791990193755909,-0.028791990235171643,0.02949586555459907,0.08179917645276219
GAD1,0.12165818826269789,0.030815681850079185,-0.02621530928937982,-0.022062823986449365,0.13277506839771414,0.014748723277143449,0.07254221171915827,0.07959915847881183,0.0511878288570862,0.05866458925219817
COL14A1,-0.03699412600949916,0.021006420100636657,-0.021330780021456698,-0.01874116853380908,0.007633796965646337,-0.04138391676064811,0.007050806489501787,0.06592328366569859,0.05669107717376962,0.055255759074476475
HLA-A,-0.01979506849583801,-0.021539865969995433,0.014061392142440466,0.04369075190793907,0.09885805353874914,-0.007802175240743519,0.013843325046068862,0.08362501242022491,0.040464815097813044,-0.026374364090515075
CD5L,-0.03648601685694221,,,,,,,,,
FGF18,,-0.010328515783493461,-0.010522326924849416,-0.015291579081430312,,,0.012244255811163188,,-0.004688970423977528,-0.016190494464077793
ADM,0.015324838842030173,-0.04967765822147659,0.023465757597725775,-0.022927774563970656,-0.005727841756122167,-0.09107814164703552,0.038009677393981235,0.04115650899327005,0.04892877458457077,-0.02575980306498345
CCL15,,,,,-0.02563574517962597,,,,,-0.014042014591774003
GNAI2,0.01642268785833002,-0.028104926944874303,-0.034142491347061765,-0.021724828618342556,0.09233329872843732,-0.12807371047853083,0.028357815880615596,0.053199080541752826,0.005442071037325701,0.07249272268146865
HDC,,,,,,0.006384338196703506,,,,-0.020545046767163795
