,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
CORT,0.14130157723005957,0.023876687713070107,0.07136421587901344,0.1677775027966184,0.036409055797310144,0.12765068018132072,0.013981159634198687,0.020179644627030837,0.07645182469827463,0.014284004733194244,0.05180378053064519,0.05580891496044895,0.09975110501690498,-0.044475715932160854,,0.1794400156500245
NCAN,0.01911551198775809,0.08801605944994917,-0.02625533271726036,0.28017430746219807,-0.1443497463908308,-0.17630118497415537,-0.035917092217309016,0.04581979708116041,0.2571857794686493,-0.23006728080521774,0.15642134606107905,0.2726507113188833,0.02302736457511189,0.06138052004564758,0.16470274372286164,-0.04457377374107546
PRG4,-0.044374033489458016,0.03553952605498267,0.04977896080208259,0.0932411957043578,,-0.034397822530646646,0.017635808848562525,,,0.012138942338573096,0.006377927727710455,0.01290368918084219,-0.04357479023098541,,-0.018201416667257175,
ZG16B,,-0.030965700421951386,-0.02063253297544891,,,0.01581058797413119,0.02614024330505209,,,,,,,,-0.02068513129075192,
TGM2,-0.01464767871167378,-0.05454795795390347,0.04013607826949604,-0.04614910951670953,-0.024566040194365625,-0.146334389796525,0.004398396595206835,-0.028971503246492752,-0.07236951939457073,0.14118166828165632,-0.08168918585849037,-0.09124521927218857,0.0010099253145574453,-0.0017252358666273353,0.041932331867013756,0.042865860395056875
VEGFC,0.022401954229292465,-0.023983919213925703,0.0054305725334594275,0.03157565365066527,-0.043647729951591954,-0.02302877094883926,0.06535626120312667,-0.010427818925226855,0.008543406794229982,-0.002742287086301733,-0.025580037196109278,-0.059580346577934186,-0.03736651342683821,,-0.09102780235644255,
WNT6,-0.050728581303561705,-0.015444024825053122,-0.00034514840416105476,0.0814949351642415,0.025529765246419013,-0.0463940766266781,-0.024564243891092817,,,0.006301618438401688,0.03507591062742801,0.017525271216959397,-0.04282167152401724,,-0.033610202545262,
NRG4,0.04008460636245039,-0.03491595487399095,0.03221159589854397,0.08773931842650207,0.05213188786828536,-0.02859096563709166,0.023284253876690617,0.00824240471111613,0.10643326415166747,0.014993542148847053,,,-0.03940150216555958,,0.03315832479873745,
PMCH,,0.013384410907512294,-0.009984063683137694,,,,0.040054848367181796,,,,-0.024069824726518054,0.10329218272983783,0.0020105860307253016,,0.030752552923356845,
COL9A1,0.0410719246987381,0.0700729242890457,-0.02259678410316168,-0.047953342211438404,-0.22692814574041875,-0.06088544368256788,-0.054527842447933565,-0.026898598538225103,0.1287169239045364,0.020896103420323275,0.1010596616052553,0.2145077295199381,-0.01640769669109325,,-0.004426796278114906,-0.06325500505373495
GDF11,0.04940235891309642,-0.012741860335664325,-0.042319893504214924,0.04001655733480482,-0.22318748983314468,-0.12876613750933322,-0.02611942443938825,-0.024870070780788244,0.022174206728350174,-0.09507948898906177,0.01497942526173491,0.06764690038843756,-0.006938811357764398,0.03439173947433566,0.00467422071366881,0.06022126852707938
IL24,,,,,,,,,,,-0.05552769077729743,-0.0521882109522913,,,-0.07256055303471609,
SORBS1,0.09562379963953119,0.04429097068301084,0.012761406988840669,-0.0015443100573947985,0.0158953693901108,-0.02898028449816166,0.0691914442518266,-0.10384239482203847,0.0011402123977471222,0.06742677178120879,0.022584097539641277,0.014615051973526246,-0.06880794898850393,-0.13793923383024206,0.14539428835385487,-0.13168118733643908
DLL1,0.1269989025035204,0.057629095487017654,0.0507505151195673,0.01972738703933424,-0.16887167137308,-0.1282241560752776,-0.05175720427383585,-0.012999244985278368,-0.08185143337398833,-0.08215633705325548,0.17207588155824466,0.26519395443638893,0.07525445721341492,0.052770814397384055,0.007431279296272973,-0.01867949873513015
TLN1,-0.09787458247751989,-0.05421099393286218,0.02233677779706524,-0.16034498644959597,-0.22168693808492676,-0.331701601991902,-0.05627890541794679,-0.0417200817630188,-0.3091456295707551,-0.22506041171796778,-0.0799861034246887,-0.11400829321277772,-0.09117814925423855,0.047755580823634736,-0.08403890282942723,-0.13971797823619944
