,UKF248,UKF259
PDGFD,-0.011490563832116685,0.010076609322963408
EDN1,0.017896956139410135,0.026390638187340793
ARPC5,0.010238232074619769,0.018727944889516818
GSTO1,-0.031118758951991964,0.0019363045799270207
SYK,-0.04874078379863674,-0.008286947468760568
ST6GAL1,-0.03317042830050411,0.024510550339770197
WNT3,0.042525981407942406,0.020000902797447078
HSP90B1,-0.002116739575857516,-0.0025162746395494774
ZP3,-0.022680195156281942,0.005088271398677684
ANGPT4,0.10230067489320603,
NRG2,-0.022258099488528936,0.0182361098789485
MELTF,0.01605100253331674,-0.01094735103282905
NLGN1,-0.005254632332388666,0.05384126358352058
SLIT3,0.022862638567170607,-0.04000007994474509
CCL8,-0.015276594782311966,0.011494051886622714
S100A4,-0.01830357914191217,-0.03939298623409852
TNFSF13B,-0.04193042703529438,0.026719502835508595
HSPG2,-0.016027461189497452,0.0007740231729048302
FAM3C,0.007050803540294392,0.060645276216252327
FLT3LG,0.0066706870739313365,0.06521311680812611
A2M,-0.03889449976170241,-0.04300341865625562
VCL,0.0204059826449087,0.04258041395216412
FGF2,0.032771497526125466,0.02304488471802017
AGRP,,0.03821256739235104
CNTN3,0.004769596822501676,-0.002705261646289686
RNASE2,-0.017767162320779996,-0.0365509125250932
