,UKF313,ZH916T1
SEMA3B,0.021543512975559086,-0.04558187282915837
RPH3A,,0.0249279996736081
JAG2,0.03903421733455252,0.07119624667789314
CGN,,-0.02921422426780271
GDF15,0.011484094699510122,0.02795823835089841
SEMA4F,-0.013278822813258002,0.01035334165556071
NXPH1,,-0.027827016394895442
ARF1,0.02908805722125028,0.027482352953453144
DSC3,-0.03697670741992976,0.08354887310143866
EBI3,0.06824296064843889,0.00927608349858246
TIMP1,0.017904022884147757,0.060257277695608034
SEMA3C,-0.048520950126839504,0.004417682837398337
GNRH2,,-0.0183225759745695
GAS6,-0.0333346382162257,-0.015213945426602635
MEPE,,-0.023364760633234134
SERPINE1,0.0358855574035351,-0.009098333060854582
RSPO2,,0.06462741167159179
SHBG,,0.06345083135536134
LGALS3BP,0.04896627374584938,-0.017521879622563314
LAMB1,0.025250027892723972,0.07658373981657282
SPTBN2,-0.02791786745734063,0.043911068497813836
COL1A2,0.0053203844797171124,0.03152100378527453
DEFB1,,-0.03621012847374595
WNT11,-0.016910707158343734,0.04950854764862675
LGALS1,-0.04594732782079706,0.11865623135886762
BCAN,-0.017061597035611536,0.0034504486833863294
ANOS1,0.021384686935153774,-0.07711560607249371
EDA,-0.017798493558227164,-0.012247592730681064
FGF22,,0.02153229113213116
SHANK1,,0.05602942795095151
RAET1G,,-0.021082972286792245
TGFB1,0.023885146152163833,0.04323918836501457
MSTN,,0.003099459336876533
WNT4,,-0.029398507451464623
TNFSF4,0.11308465120679154,0.06167652702498591
NTN1,-0.007257664518682709,0.0012598202043412254
CXCL12,0.05753257309063305,0.03409478081881201
GNRH1,-0.020006542313149113,0.055664118306182966
RIMS1,,-0.03646097227393619
FGF14,,0.020145118235791442
IGF1,0.02316698298574569,-0.014120428599087523
TNFSF10,0.07143849839101228,0.014299472743299305
GDF5,0.011726890401280209,-0.00470842826800777
RGMA,-0.020706369436369488,-0.0010017954321853962
WNT16,-0.03386307246331051,0.007499165779860476
CX3CL1,0.034846510050438505,0.06481832832740297
FGF1,-0.025151863633083426,-0.05814616853128133
ALOX5AP,0.03131407951265125,-0.062111821512892997
IL1RN,-0.04103097690988599,0.01766241885751052
PCSK9,-0.023388268710181435,
NPW,0.07162157800045472,-0.02344087270652469
CXCL9,0.030184198048342197,0.03423842217575444
ANGPTL4,-0.01146819917774405,0.013434746312457396
CCL11,-0.017653356196815115,
UCN2,0.02479744142473394,
OBP2A,-0.014121222172111824,0.06712885762640715
COL4A3,,-0.016184909088910824
NRG3,,0.0016056019911510283
IL23A,,-0.027417295914668204
COLQ,0.025358554281901,0.010019325169999097
TNFSF12,0.03621099370871147,0.012476944929099894
DKK2,-0.028016073777792746,0.05764723132384355
FYN,0.05436699716491139,-0.09019177443316269
ACE,-0.011746229295879158,0.08884880139125312
IL18,0.004560311044802566,-0.03115388448311252
PPBP,-0.013196851397220839,
CCL27,,-0.04028745622827832
SERPING1,0.030010949418506287,-0.03827311224216063
AZGP1,,0.003876973381822216
INHA,-0.024283455305323498,-0.013897172748680738
SEMA3G,0.16317797592421715,0.06467277426672378
COL6A1,0.013058974361357438,0.08338875355110202
FGF17,-0.014991834527782745,-0.01809409769944862
TNFSF8,,-0.042140019849948904
FGF20,,-0.0027867881337310207
ICAM3,0.003815673587590198,0.06698163289501938
LAMA4,-0.01656009246382296,0.0778237517158855
INHBE,-0.017359779482472023,
DLL4,-0.030142310577679413,0.07931473078107089
SEMA3A,0.05136745605897319,-0.07219868657191479
RLN2,,0.02036004382447491
C5,-0.03400979304617453,0.009874468131629267
COMP,-0.0205060875173365,0.007277510729825565
EDN2,-0.01375851657079787,
C1QA,0.0028240707828247028,-0.02860213413589128
UTS2B,,0.01552955955531561
COL9A3,-0.010237717364359964,0.05295339834031855
DLK1,0.031551581694089254,
HGF,0.0006100233498731823,-0.04297816500848333
GIP,-0.018227591262151017,
P4HB,-0.0007936071601057284,0.049209911516508525
ADCYAP1,,0.05992788895254201
GREM1,0.009787788023032947,0.004694054956782222
EGF,-0.017942551334454073,-0.007926020091609143
VEGFB,0.003567011131933144,-0.05434348164438307
FARP2,0.04053658469694298,0.07254740002337667
LAMA2,-0.04092420495540455,0.0375279268980018
NRG1,-0.03567877476224919,-0.03645851354867822
SPINK1,-0.006545747260848055,0.0006945174771396286
EFEMP2,0.006470817523195081,0.02338750813093777
SELPLG,0.035155023601531214,0.02778654638160078
HLA-E,0.02304298182410062,0.06847455223267962
PTN,0.011796064040704116,-0.011867536935578913
CD274,0.03857424901972715,-0.03386563861879474
CD14,-0.0029615064614455515,-0.10380973840374358
SFTPD,,-0.050086051275634876
SLIT1,-0.01629434331875906,0.009548392551910367
BST1,-0.04025205628662691,-0.018557928155230025
AGTRAP,-0.005907543000335085,-0.05946388303176713
LAMC1,0.010603386551457714,0.07981685816323757
COL6A3,0.06701632747075362,0.06412111983408682
FN1,0.020523613907996934,0.08549710232778507
MIF,-0.035054304403048034,-0.038301258316082686
JAG1,0.002519880160334501,0.09213563682680975
NID2,0.04846809024733989,0.06617919951329379
EFNB1,0.06631209200365054,0.058780138713344775
COL4A2,0.057270971322688706,0.09205819049596138
SPP1,0.01392542547397691,-0.08628085538402522
PODXL2,-0.0124105972844888,0.008725643198713743
FGF9,,-0.014616363841910878
ITIH2,,0.042796309724275824
ADAM10,-0.005046251077617164,-0.05356379749453413
CFH,-0.014430779370723873,0.08181406974902666
COL4A5,-0.017239892152396796,0.0333084726522286
LTBP3,-0.012739647093916133,-0.08064114086444671
GNB3,-0.04181583794403592,-0.014398314719886094
COL6A2,0.04744765786943652,0.1243662061420998
GDF9,0.021357110429594817,0.02410700026772902
NCAM1,0.014252673444269556,-0.05151014402253026
APOC2,0.03719735793758766,-0.01582278045251768
BST2,-0.07305363342781117,-0.051894148643658294
COL5A1,0.03630009181938879,0.053412361190378316
CALM3,-0.02216921037880483,0.036977249931642836
THBS2,-0.020547189713811496,-0.000517643287428453
SERPINE2,0.016892925290585586,-0.020279053474101836
EFNB2,-0.02282307905253018,0.0460986154603125
MMP9,0.05034144266253956,0.10325314736128939
NPPA,,-0.02262733682067504
APOB,,-0.017151716458548592
C4B,0.03775554553040808,-0.01899257912699649
NTNG2,-0.023501736187953676,0.004393863683746271
LAMA1,-0.0323691882303654,0.001881708558152331
UCN,-0.042715291993958876,0.013016606357329716
ARTN,0.043723039171120394,-0.003562004960838712
PDGFD,0.025040795994521116,0.04800695625403009
EDN1,-0.0055985823735728475,0.1031998940840559
ARPC5,-0.03568123358762672,0.06195634987074836
GSTO1,0.026918598648402403,0.08007932618271667
PROK2,,-0.015638374681369804
SYK,0.035150091271551796,-0.023210000673954963
CD40LG,,0.02568891935149742
ST6GAL1,0.005827710677208314,0.0052064827250241875
