,UKF259,UKF296,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
FGF18,0.017773413697097024,,,0.07304836152083335,-0.029972434770906664,,-0.03723064290960134
ADM,-0.02544270383605003,0.009911224572124185,-0.044378461828288834,-0.04366510553214181,-0.025359694751508115,0.09793593550960306,0.03869271112173237
CCL15,,-0.01945894226144606,,,,,
GNAI2,0.017049930249055236,-0.013553605685117435,-0.08718804916025677,0.08717191818266908,-0.012223506313574568,0.03191045561222005,0.01642067636713945
HDC,,-0.015334703757067712,,,,,
COL11A1,-0.0022767571549386764,0.01923657726617303,-0.0036648609382082483,-0.0468482290640446,0.02994560265985138,0.03278265009848152,0.0036758017453635845
NUCB2,0.031564634260162434,-0.027299882911366643,0.014787999729476486,-0.02540321897035561,-0.01989995699798515,-0.019954388189350962,-0.007670937309869653
CXCL1,-0.026129256291066924,-0.011462953888327954,-0.03574545844301356,0.07497977537268863,0.005229947756903431,-0.0247453966355361,0.02650906858375677
VCAN,0.02608156978455418,0.03535478627243502,0.012724397794879994,-0.03389256015349547,0.007928097520475614,0.016200561470604388,-0.012794924043829438
MMP7,-0.006900892670341066,0.0441042348678099,-0.06813776290927825,0.05213535561396674,-0.03778806070610913,,0.07706322931286921
PTPN6,0.01319557118075231,-0.0041181710619010116,-0.04127524551531263,0.008420365491437843,0.0024823045059843216,0.01890729972434249,0.00830038952714718
PTGS2,-0.03173514895842043,0.0005439433009546501,-0.056634308293277494,0.04253419548695601,-0.035685124749692466,0.04883733485069334,-0.007991733607536303
XCL1,-0.0033661470411682536,,,,,,
CD58,0.05282599345135589,-0.02019197043223889,0.0006657125994692242,0.001521472068618234,-0.004060183855272997,0.06735176591610627,0.052738734198825195
TNFSF14,0.004564278833496755,-0.011196289616007788,0.13267214917085593,0.0008328850947827413,-0.03267617442619453,0.027289455123553363,0.018966139271588876
CNTN4,0.06516750329062511,-0.014677694934063845,,0.03760251347204504,0.054436189402410136,-0.03237260755114111,0.014521007729782091
NTF4,0.03706568403595429,,,,,,
INSL3,-0.017298611592761817,,,0.051083717128474884,-0.018967012629641112,,-0.019024111756516606
BTLA,0.014565731749673193,-0.014298044781189827,,,,,
MFNG,0.06742673774991359,0.015488297320577582,-0.024864646859251622,0.040120826910877226,0.07648322208818115,0.043447449914983886,0.018808521692044416
ICAM1,0.009399654306792078,0.04477522247809861,-0.07142086557638012,0.052748956369841914,-0.0022743622428225167,0.08845695755083471,0.07548057214294455
PROS1,-0.031534548637554276,-0.026062170993924032,0.014866856905867898,0.014892531459595192,0.026567986218693225,0.05636857063647431,0.036905444097316394
CLCF1,-0.0016977048683730566,0.007911769191796909,0.04938575466446689,-0.0036087330817011175,0.04716880376148925,0.043840566188847754,-0.022226291546356657
PSAP,0.0029616373063097766,0.02936919515087718,0.08509519188104679,0.07592579113033653,0.021574189363109435,0.06160969018122208,0.022588797913541993
EFEMP1,0.06528330445919037,0.06400137236206992,-0.04145953335803169,0.024145889745131037,0.05600761273910194,0.055317208797721125,0.01266600643141131
C1QTNF1,-0.04776144411969626,-0.024847053634886835,-0.009812761156719899,0.0515404725176269,-0.047280290028752434,0.026586857282642415,0.01719142955291159
ALB,-0.030711215198891393,-0.012716620265467854,-0.03156585624017118,0.020816404829443674,0.05296526592275981,-0.0009709026636691222,0.024648695914132095
CCL13,,,,-0.015517352315846345,,,-0.0007518688123036756
EFNA3,-0.03963418827270748,0.05161701427076423,-0.046308773650972766,-0.06196319997227015,0.00036230150131015657,0.04985472776429741,-0.01520318740475012
DRAXIN,-0.005578623454051235,-0.010210822045254173,-0.035139347169095725,0.04227060003600015,-0.035580107376197184,-0.0007593662856194382,0.05419895852108027
RAET1L,,-0.012229757358218296,,,-0.019200733744657868,,0.002550375739251322
NPTX2,-0.028391861819274437,0.0620596351004355,-0.02553113772756577,0.057678475440333825,-0.05576243530156779,0.06408146285399739,0.022065165753019863
FGF11,0.03837990793186964,0.029146133382576267,-0.020879767252102638,0.07195128079257469,0.050653149806315134,0.08660536003580155,-0.04327861962061575
CD59,0.012662708456919313,-0.019170747942095803,0.04973420542789637,0.09911837589855285,0.00048094974198601304,0.013953592752797147,-0.03748433897193517
COL9A2,-0.006006242738247467,-0.015373372959598912,0.09399474956732531,0.011247000014816043,0.030245876255921303,0.06285892859788338,-0.06745942817132246
DLL3,-0.04050596382831181,0.011684696111040076,0.13671907425475682,-0.06128209763810689,0.06932799850373593,0.025893917741383787,-0.023102139381078822
LIN7C,-0.021653370940319144,-0.01891544604422211,-0.079742522022531,-0.07061830126946027,-0.012037335121932318,0.01948702581432935,0.009484753869676718
GDF7,-0.012205833331063742,0.039847177663730866,,,-0.016459804079245684,-0.04215085021052662,0.0933463381079282
PSPN,0.021300937947255127,0.0035468060223017833,0.044084953659167654,-0.030096147328828062,0.024869322508041497,0.050252218958611206,0.0008349247334142327
ANGPT1,-0.033660683917569496,0.00682099390556254,-0.025595137920838822,-0.004257740782460763,-0.0073113932299405295,0.05860711458753593,-0.0337092421550306
PNOC,0.015453544555693817,0.002699779990892073,,,-0.01750342805949151,,-0.016678663157749397
L1CAM,-0.014050701758343088,-0.017172588222262652,0.07127167837810283,-0.020134629063525367,0.0163555245783529,0.007601862451655369,0.05815882670050045
APOA1,-0.02693972943481424,-0.01812011908077255,-0.0312438694814583,0.004589327378147239,0.011856735246940977,0.1076030554363577,0.014982619332897783
PSEN1,-0.06482880108207269,-0.006645733616716754,0.0046159128847625365,-0.0200009432210582,0.00579171847733432,-0.030110965414407845,0.018578752717591646
CALM2,-0.0070933261941515825,-0.003282123744267612,0.007007341967775271,-0.057360268991298556,0.0471296672491647,-0.03454413472854815,0.015499574224427395
