,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
LEFTY2,-0.03013238338613942,-0.0721952705665568,0.12898711989500616,-0.011663694038237487,0.02728884557587618,0.03770154645398839,0.08259487568481094,0.10614760397659227,0.22422778806847396,0.04932676375502362,0.05116961394207435,0.047286169365986716,-0.021549526967821284,0.08574829724119494,,0.15304053162959172,0.041610683312926125,0.005586474112079627,0.2603350383899859,-0.10470426168394835,0.12348030641787974,0.15635869574399724,
PF4,,,-0.016570945624622975,-0.010480992455693727,,0.04170107680453038,,,,,,,,,,,,-0.042793083937578254,,,0.028585278361594333,-0.02700909239543443,
ANGPTL2,-0.02846718953350186,0.08656401960039505,0.18059409245620578,0.03350355973448218,-0.0030378237323133053,0.01535114887182194,0.037854555525782645,0.11277857148332543,0.12461256016160815,-0.03289453387580781,-0.14242593034303686,-0.023630220723224495,0.171231720445694,0.08727391561751191,0.05115059781315339,0.08208062121967728,0.05066098696855651,0.030574254424608212,-0.007552433003790584,0.09894025734766045,0.27388005058565,0.310897026804551,0.1202747668720051
LRIG2,0.0634204720274121,-0.03441734647582079,0.022921599576804928,-0.047083284348090636,-0.012827045051486085,0.0052861252360824436,-0.011508401387727045,0.057223023374392556,0.06226010197369383,0.09458359578650594,-0.045799585953459634,0.017314278157452363,0.10815037246070512,-0.06685113231310022,0.07293435668734492,0.1394681120293284,0.04632781506558415,0.16642174941683033,0.09358287965351532,0.0010351106931139678,0.13090492482580643,0.04713781361068623,0.02981851073510045
ICOSLG,-0.04863533369151424,0.036631910170460184,0.0697011548793114,-0.010038045195066136,-0.01277899215331479,0.07533345153299122,0.046849273506419875,0.014525208539502963,0.06637546188713563,0.05592624804291496,0.03975549340986317,-0.011736190291404273,0.04100801940734178,0.06240823619860975,0.12108807265478225,0.014323640624665372,0.11147233302374056,0.15198198913292402,0.006228516854774458,0.011062689395627497,0.09999168725581713,0.035507093614401186,0.024505289045218703
WIF1,,-0.06598270906883896,-0.08053133557085367,,-0.028115430260997474,,-0.005473307702469709,-0.061219143637541044,-0.08075244904215843,-0.0459975566065485,,-0.010601329186923684,,,,,,,,-0.04002861482637844,,-0.07891241540631211,0.026987609494642212
NPPC,0.0532272746474213,0.046164913597101544,0.0024788979788490685,,-0.048905109530293436,-0.029113547553270065,-0.0048595280066435365,0.021871629801309512,-0.016662611587853583,-0.06804319056880406,,-0.09236982185627138,-0.018889639598193786,0.12210500694328855,-0.056758108254495857,-0.08422152499324047,0.032139661128463066,0.08625604670753786,0.08559636792264884,0.005945567545713612,,0.05530130683754227,0.03291485446273438
LYZ,-0.026208803715490656,0.005079055350681419,0.11227854534192543,-0.0024722275860184447,-0.05503740627752081,-0.051658958599448704,0.0697001587941526,0.031121874665551868,0.13550037563940653,0.0061406524697783385,0.10483175421769936,0.003967197201497945,0.2027953961274421,0.08068792702970821,0.09357606166427382,0.1647060403338968,0.11287563779450553,0.04099319226402468,0.0937361017985737,0.012104215180828482,0.1953083881926275,0.07925361257972159,-0.021439447436577847
EREG,,,,,0.02715981957519087,,0.04618176465060515,,,,0.00045252875256414544,,,,,,0.002363907013624303,0.08901237129620336,,0.013602101882503603,0.02250350990155635,0.08029313957031418,
SPTAN1,0.0189393737515546,-0.04320011242053337,0.041954493898924486,0.017054531930167524,0.019761825167645575,-0.0059512417418549944,-0.017385109736274693,-0.029165203525152388,-0.055111676860787925,-0.1415151366107344,0.08981702952901134,0.00037612101747779394,0.009015253688626762,-0.047491973058963126,-0.024206931941455942,0.11127002249231474,0.013984102832355991,-0.09666541951152682,0.03546387041225829,-0.09795626456369817,-0.03369340004834076,-0.008148384154971633,0.14171358438073547
