,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
WIF1,-0.010657556821264189,-0.03608914628400452,,-0.0026780449404609353,,-0.03838792456023688,-0.09161955928081106,-0.07499509835836804,-0.02224415791779798,,-0.04710067105517039,,,,,,,,-0.025917091721076306,,0.06722030036319791
NPPC,0.010288504211342092,0.017758758253492827,,0.11562264556886954,-0.01823835838495311,-0.003551408694217327,-0.031064854644147315,-0.03743490354860321,-0.008294013765192622,,0.06168643486498591,-0.02926702413465992,-0.043642186760406196,0.040695677929446596,0.07404476303711019,0.016060637783124502,-0.008068038474764358,0.019760618875207317,-0.042611899608011206,,-0.026794712273281875
LYZ,0.0694384434356022,-0.027188541505154106,-0.00571533507981943,0.05704416480005437,-0.04725066235461542,0.053652206271236694,0.004973494405950351,0.022611928351219203,0.01628456646130385,-0.033877099689950736,-0.0028356897514620694,0.06711030931899728,-0.0015874613007739451,-0.08830710279606185,-0.023356384072544503,0.04362470245693142,0.09552201281436692,0.11023041921685994,-0.04165695025986706,0.04890581463507797,-0.02805347954800292
EREG,,,,0.027029267873006472,,0.034009347215541594,,,,-0.008937443058614443,,,,,,-0.008749089455004137,-0.0033164965956881264,,-0.03472491789226271,-0.04329221514198712,-0.031469138185616065
SPTAN1,-0.12786121834396838,0.018901252485995817,-0.058573578236348074,-0.010227634699639065,-0.12351428488576749,-0.015070912971234631,-0.05313436105173316,0.003107290178223682,-0.011328121509599026,0.05011512899191782,-0.004001438425469045,0.006128723586665547,-0.009644524183059817,-0.012455179825372443,0.12923532926395379,0.05781509118531529,0.02794056105373041,0.04219673703439035,0.07376225287462677,-0.008495386639133072,-0.045006716943420004
PTH2,,,,,,,,,,,,,,,,,,,-0.025590617202241595,,
LIPC,-0.02215936152723014,-0.03333388916449625,0.08983486005012316,,-0.03287591947234781,-0.03081512656627495,-0.019670775411609543,0.06196894295568034,-0.02758263668751796,-0.04126879362541886,0.028403920516834536,-0.031034683201610524,0.05771944206534798,-0.04274819902210337,-0.02893718316424708,,,-0.011027785976793296,,0.0699433971265275,0.006976223026014833
COL8A1,-0.1419428844642845,-0.0006604827249146691,-0.013290618414890359,-0.021839954921502244,-0.005504024033063762,-0.011701891025839949,-0.020822497348866927,0.0013094626861784359,0.03948775945100046,-0.007468132527194595,0.06823102319724686,0.060428085040661626,-0.06052862667086287,-0.13042981408737037,0.004757743993511754,0.04330627439839706,0.0008155796024870781,0.02246690546890782,-0.05887040881187371,-0.0022182556513097927,0.03879891326627613
GSTM2,-0.002223269258942231,0.045782734018042955,0.01471262553916784,-0.07095111045043354,0.08408686544095473,-0.024382865658957757,-0.010726653635903388,-0.02021170054317334,0.02918907389157026,-0.024982436588399864,0.000883450439185605,-0.013343705556179893,0.03688899967330682,0.024750557555722086,0.05134922393827726,0.013392725600896618,-0.020414950490144662,0.007161765146484016,0.07606511690301573,0.05109427073428385,-0.0198571073301184
IL4,,,,,,,,,,,,,-0.039425700181332936,,,,,,,,
SPX,-0.04757102891113862,0.0028350874334437735,-0.023022866457160267,,0.07145033105852523,0.03162350979275041,-0.05059751308341768,0.0026300449005434994,-0.08279895464940008,,-0.0509219932028291,0.04466271176093921,,,0.05277981807406516,0.0076640243583760105,0.05249826844421602,-0.05797483350973737,0.027871116580190945,0.07375851483452651,0.009689472382726867
MFGE8,-0.033630760357938355,-0.08837487196966506,0.024911142193280694,0.017093272522303103,0.018612503957508766,0.06312816399466956,0.05864023043348478,0.05846066696475766,0.04185591668343134,0.037622030326080795,-0.035963822487395145,0.01714847325802705,-0.028340942318127095,-0.1548116330746663,0.09102086409500428,0.023151990695197997,-0.024174881241204316,0.05987155448495042,0.009365757351885749,0.1298438203047324,0.06067052939150833
TGFA,0.07028881081992415,0.023446085645456492,0.008257202217159067,0.020530805467970013,0.0714360363921078,0.01078701231138003,0.10184754445277114,0.07489166317728024,0.04898451599043334,-0.04448086575618139,0.014343816502315115,-0.01090166529818814,0.05296059959112505,-0.0026956248669189227,0.06753146699778965,0.05011654448437435,0.043740843969805474,0.022273633708874148,0.005925560082839155,0.09032142600812561,0.021782807038343628
SLIT2,-0.016999135995282515,0.0025550345572735197,0.0023564329935750737,0.019094160434889658,0.020849562693912214,-0.007422966102809457,-0.030298136737576954,-0.035953783006453,-0.034762834414968476,0.01807879517042447,-0.006017873473907279,-0.006667371702904691,0.005719853381096195,-0.051397694277919695,0.05594985437086547,0.042034136140649464,0.032004688580858934,-0.023519525484403375,0.0440000903953399,0.038023064844223554,0.07901281318218778
PLTP,-0.12586639423583343,-0.0423806803948543,0.044654050830293474,-0.06648948066992083,-0.03519266285308367,0.008589961509699765,0.05666144579005804,0.17166288162632584,-0.05340209306289267,0.08683969548343946,-0.006478685948745425,-0.0396301348257834,-0.06487470970582397,-0.001175343048428609,0.11325471833027008,0.01487412002151754,-0.03705378784860619,0.09118047248321438,-0.09553869719027008,0.002369542273268391,0.014744131911210292
APOD,-0.08845598165401124,0.005860128348580747,-0.02133037634267128,-0.02375281655842485,-0.04840426750146139,-0.044547018308181155,-0.05231193498249788,0.017919176894264734,-0.05255774845867224,0.06231822007186656,-0.020259188748370842,-0.027126902390754184,0.14537464942310044,0.006147515354999509,-0.15224009045954934,0.028499473599480123,0.08871977785025004,-0.08444622075312952,-0.007236921989260982,-0.11350554360859699,-0.04834323279756767
